,Komentar,Label,TOKENIZATION,STOP_REMOVAL,STEMMER,Komentar_Final
0,lha kekerasan seksual itu kan mmg definisinya memang harus tanpa persetujuan korban pada kemana sih logika yg nolak gimana melawan kekerasan seksual kalau tidak boleh didefinisikan apa yg dimaksud dgn kekerasan seksual ,positif,"['lha', 'kekerasan', 'seksual', 'itu', 'kan', 'mmg', 'definisinya', 'memang', 'hrs', 'tanpa', 'persetujuan', 'korban', 'pada', 'kemana', 'sih', 'logika', 'yg', 'nolak', 'gimana', 'melawan', 'kekerasan', 'seksual', 'klw', 'ndak', 'boleh', 'didefinisikan', 'aoa', 'yg', 'dimaksud', 'dgn', 'kekerasan', 'seksual']","['lha', 'kekerasan', 'seksual', 'mmg', 'definisinya', 'hrs', 'persetujuan', 'korban', 'kemana', 'logika', 'nolak', 'gimana', 'melawan', 'kekerasan', 'seksual', 'klw', 'ndak', 'didefinisikan', 'aoa', 'kekerasan', 'seksual']","['lha', 'keras', 'seksual', 'mmg', 'definisi', 'hrs', 'tuju', 'korban', 'mana', 'logika', 'nolak', 'gimana', 'lawan', 'keras', 'seksual', 'klw', 'ndak', 'definisi', 'aoa', 'keras', 'seksual']",lha keras seksual mmg definisi hrs tuju korban mana logika nolak gimana lawan keras seksual klw ndak definisi aoa keras seksual
1,jangan mendekati zina itu adalah aturan yang pasti dan tidak perlu pasal uu dll suatu saat demokrasi ini tdak layak lagi untuk di gunakan karena isi nya hanya kepentingan para petinggi saja sangat sedikit untuk kemaslahatan masyarakatnya dan saya rasa ini bisa di jadikan tameng oleh para oknum bahwa melakukan kekerasan seksual jangan menggunakan media skrang saja banyak yang ngomong ngawur ,negatif,"['jngan', 'mendekati', 'zinah', 'itu', 'adalah', 'aturan', 'yg', 'pasti', 'dn', 'ndak', 'perlu', 'pasal', 'uu', 'dll', 'suatu', 'saat', 'demokrasi', 'ini', 'tdak', 'layak', 'gy', 'untk', 'di', 'gunakan', 'krn', 'isi', 'nya', 'cuma', 'kepentingan', 'para', 'petinggi', 'saja', 'amat', 'sedikit', 'untk', 'kemaslahatan', 'masyarakatnya', 'dn', 'aq', 'rasa', 'ini', 'bsa', 'di', 'jadikan', 'tameng', 'oleh', 'para', 'oknum', 'bahwa', 'melakukan', 'kekerasan', 'seksual', 'jngan', 'menggunakan', 'media', 'skrang', 'saja', 'byk', 'yg', 'ngomong', 'ngawur']","['jngan', 'mendekati', 'zinah', 'aturan', 'dn', 'ndak', 'pasal', 'uu', 'dll', 'demokrasi', 'tdak', 'layak', 'untk', 'isi', 'kepentingan', 'petinggi', 'untk', 'kemaslahatan', 'masyarakatnya', 'dn', 'aq', 'bsa', 'jadikan', 'tameng', 'oknum', 'kekerasan', 'seksual', 'jngan', 'media', 'skrang', 'byk', 'ngomong', 'ngawur']","['jngan', 'dekat', 'zinah', 'atur', 'dn', 'ndak', 'pasal', 'uu', 'dll', 'demokrasi', 'tdak', 'layak', 'untk', 'isi', 'penting', 'petinggi', 'untk', 'maslahat', 'masyarakat', 'dn', 'aq', 'bsa', 'jadi', 'tameng', 'oknum', 'keras', 'seksual', 'jngan', 'media', 'skrang', 'byk', 'ngomong', 'ngawur']",jngan dekat zinah atur dn ndak pasal uu dll demokrasi tdak layak untk isi penting petinggi untk maslahat masyarakat dn aq bsa jadi tameng oknum keras seksual jngan media skrang byk ngomong ngawur
2,the law is an art semakin rinci semakin mudah dibelokkan ,netral,"['the', 'law', 'is', 'an', 'art', 'semakin', 'rinci', 'semakin', 'gampang', 'dibelokkan']","['the', 'law', 'is', 'art', 'rinci', 'gampang', 'dibelokkan']","['the', 'law', 'is', 'art', 'rinci', 'gampang', 'belok']",the law is art rinci gampang belok
3,tetapkan dulu apa yang dimaksud dengan kekerasan seksualitas ,netral,"['tetapkan', 'dulu', 'aoa', 'yg', 'dimaksud', 'dgn', 'kekerasan', 'seksualitas']","['tetapkan', 'aoa', 'kekerasan', 'seksualitas']","['tetap', 'aoa', 'keras', 'seksualitas']",tetap aoa keras seksualitas
4,lbih cock diterapkan dikemendikbud dan dpr ,netral,"['lbih', 'cock', 'diterapkan', 'dikemendikbud', 'dn', 'dpr']","['lbih', 'cock', 'diterapkan', 'dikemendikbud', 'dn', 'dpr']","['lbih', 'cock', 'terap', 'dikemendikbud', 'dn', 'dpr']",lbih cock terap dikemendikbud dn dpr
5,sekalian aja pakaian anak sekolah dan mahasiswa rok nya harus di atas lutut atau ganti aja menteri nya mungkin yg ingin membubarkan dia ikut juga,negatif,"['sekalian', 'aja', 'pakaian', 'anak', 'sekolah', 'dn', 'mahasiswa', 'rok', 'nya', 'hrs', 'di', 'atas', 'lutut', 'atau', 'ganti', 'aja', 'mentri', 'nya', 'mungkin', 'yg', 'ingin', 'membubarkan', 'dia', 'ikut', 'jga']","['pakaian', 'anak', 'sekolah', 'dn', 'mahasiswa', 'rok', 'hrs', 'lutut', 'ganti', 'mentri', 'membubarkan', 'jga']","['pakai', 'anak', 'sekolah', 'dn', 'mahasiswa', 'rok', 'hrs', 'lutut', 'ganti', 'tri', 'bubar', 'jga']",pakai anak sekolah dn mahasiswa rok hrs lutut ganti tri bubar jga
6,inilah makanya para korban ragu utk melapor usulan uu perlindungan hukum utk para korban pun jd polemik pdhal tinggal direvisi maaf uu yg katanya waktu itu akan diusulkn oleh suatu partai itu gmn kbrnya ,netral,"['inilah', 'makanya', 'para', 'korban', 'ragu', 'utk', 'melapor', 'usulan', 'uu', 'perlindungan', 'hukum', 'utk', 'para', 'korban', 'pun', 'jd', 'polemik', 'pdhal', 'tinggal', 'direvisi', 'apologize', 'uu', 'yg', 'katanya', 'waktu', 'itu', 'akan', 'diusulkn', 'oleh', 'suatu', 'partai', 'itu', 'gmn', 'kbrnya']","['korban', 'ragu', 'melapor', 'usulan', 'uu', 'perlindungan', 'hukum', 'korban', 'jd', 'polemik', 'pdhal', 'tinggal', 'direvisi', 'apologize', 'uu', 'diusulkn', 'partai', 'gmn', 'kbrnya']","['korban', 'ragu', 'lapor', 'usul', 'uu', 'lindung', 'hukum', 'korban', 'jd', 'polemik', 'pdhal', 'tinggal', 'revisi', 'apologize', 'uu', 'diusulkn', 'partai', 'gmn', 'kbrnya']",korban ragu lapor usul uu lindung hukum korban jd polemik pdhal tinggal revisi apologize uu diusulkn partai gmn kbrnya
7,presenter suka motong percakapan narasumber jd kurang ngeh gitu,netral,"['presenter', 'suka', 'motong', 'percakapan', 'nara', 'jd', 'kurang', 'ngeh', 'gitu']","['presenter', 'suka', 'motong', 'percakapan', 'nara', 'jd', 'ngeh', 'gitu']","['presenter', 'suka', 'motong', 'cakap', 'nara', 'jd', 'ngeh', 'gitu']",presenter suka motong cakap nara jd ngeh gitu
8,kami sebagai ormas islam mendukung permedikbudristek no  tentang kekerasan seksual tapi kami menolak pasal  ayat  yg ada kata tanpa persetujuan korban dan seharusnya permendikbud nadiem menghilangkan yg  kata tanpa persetujuan korban,positif,"['kami', 'sebagai', 'ormas', 'islam', 'mendukung', 'permedikbudristek', 'no', 'tentang', 'kekerasan', 'seksual', 'tapi', 'kami', 'menolak', 'pasal', 'ayat', 'yg', 'ada', 'kata', 'tanpa', 'persetujuan', 'korban', 'dn', 'seharusnya', 'permendikbud', 'nadiem', 'menghilangkan', 'yg', 'kata', 'tanpa', 'persetujuan', 'korban']","['ormas', 'islam', 'mendukung', 'permedikbudristek', 'no', 'kekerasan', 'seksual', 'menolak', 'pasal', 'ayat', 'persetujuan', 'korban', 'dn', 'permendikbud', 'nadiem', 'menghilangkan', 'persetujuan', 'korban']","['ormas', 'islam', 'dukung', 'permedikbudristek', 'no', 'keras', 'seksual', 'tolak', 'pasal', 'ayat', 'tuju', 'korban', 'dn', 'permendikbud', 'nadiem', 'hilang', 'tuju', 'korban']",ormas islam dukung permedikbudristek no keras seksual tolak pasal ayat tuju korban dn permendikbud nadiem hilang tuju korban
9,negara kacau pejabatnya nyeleneh coba urus yg subtantif,negatif,"['negara', 'kacau', 'pejabatnya', 'nyeleneh', 'coba', 'urus', 'yg', 'subtantif']","['negara', 'kacau', 'pejabatnya', 'nyeleneh', 'coba', 'urus', 'subtantif']","['negara', 'kacau', 'jabat', 'nyeleneh', 'coba', 'urus', 'subtantif']",negara kacau jabat nyeleneh coba urus subtantif
10,menteri nadiem segera dipecat,negatif,"['mentri', 'nadiem', 'segera', 'dipecat']","['mentri', 'nadiem', 'dipecat']","['tri', 'nadiem', 'pecat']",tri nadiem pecat
11,ranah mendikbud ya kekerasan seksual kalau yg lain ya ranah kementerian perempuan dan anak,positif,"['ranah', 'mendikbud', 'ya', 'kekerasan', 'seksual', 'klw', 'yg', 'lain', 'ya', 'ranah', 'kementerian', 'perempuan', 'dn', 'anak']","['ranah', 'mendikbud', 'kekerasan', 'seksual', 'klw', 'ranah', 'kementerian', 'perempuan', 'dn', 'anak']","['ranah', 'mendikbud', 'keras', 'seksual', 'klw', 'ranah', 'menteri', 'perempuan', 'dn', 'anak']",ranah mendikbud keras seksual klw ranah menteri perempuan dn anak
12,permendikbud sudah benar jangan di revisi lanjut laksanakan,positif,"['permendikbud', 'sdh', 'bnr', 'jngan', 'di', 'revisi', 'lanjut', 'laksanakan']","['permendikbud', 'bnr', 'jngan', 'revisi', 'laksanakan']","['permendikbud', 'bnr', 'jngan', 'revisi', 'laksana']",permendikbud bnr jngan revisi laksana
