,Komentar,Label,
1,"Pendapat saya,   zina atas sadar suka sama suka tanpa Ada tekanan & Kekerasan maka perzinahan tidak akan terjadi. Perbutan ini membutuhkan tekanan & kekerasan",positif,
2,"Judulnya bagus, isinya melegalkan kekerasan, tolong dibaca isinya dengan teliti pak mentri",positif,
3,"Tujuannya baik, tapi bagaimana mas mentri menjawab frasa dalam permendikbud tentang ""tanpa persetujuan"" , artinya kalau dilakukan dengan persetujuan maka dibolehkan?",positif,
4,"Banyak bacot nadiem, jelas salah ngeyel lo",negatif,
5,Asatgfiruloh,netral,
6,Munkin makarim sukak sex,negatif,
7,Dajal,netral,
8,"Makanya hrs nya kl terjadi kekerasan Sex pd wanita apapun alasan nya kl terbukti disetubuhin perempuan harus laki laki yg di hukum berat. Walaupun perempuan yg ngasi barang nya kl laki laki menjaga Jakar nya pasti tdk akan terjadi. Apalagi kl Guru, polisi melakukan kekerasan sex harus di pecat dan hukum seumur hidup.",positif,
9,"Mengapa tokoh wanitanya diam terus ,ada apa?",netral,
10,"Ngenyel banget sih para kadrun ama permendikbud ini, tujuannya udah jelas untuk melindungi korban dari kekerasan seksual di lingkungan perguruan tinggi. Di dalam Permendikbud itu tidak mengarah ke Zina.
Hadehh hadeh… bikin negara yang saya sayangi ini jadi ribet.
Kalau ngomongin peraturan Zina, sono usul ke DPR, untuk dibuat peraturannya. Jangan disangkut pautkan ama ruang lingkup konteks Permendikbud 30 Tahun 2021 ini.",negatif,
11,Klo begitu supaya tidak terjadi hal-hal yg tidak diinginkan dipisah saja kelas khusus laki-laki dan kelas khusus perempuan macam gerbong kereta itu.,netral,
12,kali ini mahasiswa menolak di tunggangi ulama2 kadron  otak mesum  yang selalu memahami salah permendikbud katanya melegalkan sek bebas dan LGBT @,negatif,
13,Udah diperintahkan beliau pak Presiden Jokowi yang tanggung jawab para pendidiknya.,netral,
14,"Semangat itu kita hargai ttp mslhx adh norma yg tertulis terhadap frasa ""dengan persetujuan"" itulah bukti legalx sex dgn persetujuan.",positif,
15,"Kalau tubuhmu di bungkus seperti permen lollipop siapa yg gak tergiur? Udah di bungkus juga masih kelihatan bentuknya, ya kan?

Makanya di TUTUP bukan di BUNGKUS paham sampai sini mahaciwi?",positif,
16,"Ojk ga berani tutup pinjol yg legal...pdhl praktek nya bunga pinjol legal tinghi bngt...
Mungkin ojk merasa ngga pernah dirugikan oleh pinjol...jadinya ngga penting bngt mikirin pinjol..
Bahasa lampau mengatakan :
"" Emang guwe pikirin ? """,netral,
17,"Real bgt kekerasan seksual dikampus sdh darurat sekali..
Kenapa ada oknum yg tdk setuju dg Permendikbud ini... Dg alasan konotasi kata menghalalkan zina...
Tragis sekali negri ini",positif,
18,"ini bikin RUU jangan disamain kyk bikin apps dong hehe.. kata2 bukan tanpa persetujuan, mirip waktu kita baru install apps baru di smartphone hihihi..",netral,
19,Permendikbudristek ini udah pantas di terapkan namun klu dengan cara pemaksaan dan kekerasan alias pemerkosaan nggak bisa di benarkan  terkecuali keduanya sama sama suka dan sama sama senang. Bisa di terapkan permennya.  Begitu pak. Terapkan saja asalkan sesuai dengan kaidah kaidah hukum dan norma norma kesopanan alias jangan di pertontonkan.,positif,
20,Ngeyel....,netral,
21,Hadeh bagai mana kalo akhirnya mereka jadi LGBT bukan gak mungkin asal tau aja Bahkan di tempat sekelas pesantren aja Banyak LGBT cuma diem diem aja.,negatif,
22,Mau tanya buktinya apa saya sendiri merasakannya teman saya di pesantren ada yang jadi belok karena tidak pernah melihat lawan jenis bahkan NARAPIDANA juga seprrti itu.,netral,
23,"??????efek menteri asal comot  
Gak jelas, mungkin gak ada orang pandai di indonesia",netral,
24,Mentri juga harus musyawarah ma mui NU muhamdiah biar deal .... Jangan asal 1 aj comot ??????,netral,
25,"Ancur nya iman ancur ahklak norma2... 
Yg d tekan semua yg terkait nya ga becus ngajar ngedidik  .. murid nya melanggar pecat aja... Kasian disen yg bener murid yg bener ?????? oknum nya yg harus d babad d musnahkan",negatif,
26,Enak nih..klo suka sama suka bebas gak di pidana...kaya kucing kawin di mna aja...,netral,
27,"Otak mesum menyerap frasa tanpa persetujuan yaitu berarti boleh melakukan kalo disetujui...??
Dalih seks bebas jadi tameng buat para kadrun otak mesum.
Apa yg membuat kontroversi itu hanya negatif saja otaknya? Ya iyalah....
Kalo konteks pelecehan dan kekerasan seks harusnya isi peraturan sudah benar. Kalo mau lari ke zina, Wani piro..? Itu sdh ada undang2 prostitusi jg... Jadi mau di bikin apa lagi?",negatif,
28,"Kadrun doyan cabul gak terima, mereka gak bisa mesum lagi gara2 aturan itu.",negatif,
29,"Dalam keadaan darurat,,, menyedihkan,,  dilakukan oleh Pendidik yang tidak terdidik.",negatif,
30,Usul pak Mentri  klu BLH  maha siswa di waktu   ujian smester klu blm bisa blm uang dmester klu di blhkan  ttap mask ujian sesudahnya ttp bayar seluruh maha siswa seluruh Indonesia swasta maupun negeri demi situasi kopit pemulihan ekonomi org tua lg  susah cari mkn  cm usul mksh pak Mentri THN 21 dan 22 atau byr stengah seluru jgn pilih2 klu blm  ada uang klu di blhlkan ikut smseter atau ujian maha siswa mksih pak presiden,netral,
31,Melancarkan bisnis hotel ????,negatif,
32,dah dengan sangat hormat  mundur saja  .,negatif,
33,"peraturan ini berada dalam konteks kekerasan seksual, bukan zina. Jadi beda konteks, beda juga peraturannya. Mohon disimak sebelum komentar. kata kekerasan itu sudah pas dengan istilah persetujuan. Jadi, sebenarnya peraturan ini sudah matang.",positif,
34,"Peraturan Pelecehan sexual Nakarim  dibikin celah utk sex bebas.akal2an aja hasil survey 
Nanti korbannya yg rugi",negatif,
35,"Bagus pak nadiem, dgn peraturan ini gak ada lagi dosen cabul yg berani megang tangan atau pundak mahasiswinya TANPA IZIN, 
ga ada lagi dosen genit yg manggil mahasiswinya sayang atau i love you TANPA IZIN MAHASISWINYA,  

Karena kalau tdk dgn kata TANPA IZIN, dosen cabul itu akan berdalih hanya memegang tangan saja,hanya bergurau, hanya memfoto, dan ga akan bisa dipidana. 
Tapi dgn permen ini dosen cabul bakal gemeteran, takut utk beraksi, karena salah sedikit saja kalau TANPA IZIN mahasiswinya,  dosen cabul bisa kena pidana pelecehan seksual.",positif,
36,"Permendikbudristekdikti 30/2021 jelas ada pasal yang membolehkan zina, maka harus direvisi pasal tersebut karena bertentangan dengan Pancasila sila 1 yaitu Ketuhanan Yang Maha Esa. Tujuan baik jangan melawan syari'at.",negatif,
37,"Udh lah ganti aja menterinya sekolah pendidikan makin amburadul jaman skrg ,",negatif,
38,hukum mati slesai. lama amat,netral,
39,"89% laki-laki
4% perempuan
7% apa?",netral,
40,germo,netral,
41,"Kita gawat daruat dikampus karenahukum tidak jalan, kalau Nadim makarim tidak mampu silakan mundur berikan kepada orang yang dianggap mampu ""sekali lagi kita ingatkan kampus adalah untuk memanusiakan manusia bukan untuk beternak pelacur.",negatif,
