,Komentar,Label
1,"Bingung sendiri ketika tak paham syariat ???????
#risikoBERIKHTILATH",netral
2,"3 minggu yang lalu, pas gue sholat jumat, imam khotbahnya kaya begini nih... tabayun, baca bener2, baca kasus2 aja belum. Udah main klaim ini Permendikbudristek melegalkan zina. Hadeh.... nyesel gue jumatan.",negatif
3,mengmangtap waktunya kentu...,netral
4,Akhirnya...,netral
5,"POLA PEMIKIRAN SEMPIT

JANGANKAN SEKS BEBAS, BUDAYA OPEN BO DI KALANGAN MAHASISWI BANYAK KOK


BANYAK TUH TEMEN ANE AYAM KAMPUS TERUTAMA DI KAMPUS UIN

PAGINYA BERKERUDUNG

MALAMNYA BUKA WARUNG",negatif
6,"Perdebatan ini konyol sekali. Jelas2 tujuannya utk pencegahan kekerasan seksual. Kekerasan seksual hoiii. Jadi mana yg termasuk atau ga termasuk.
Kalau mau ngomong masalah seks bebas, tinggal buat peraturan baru tentang kode etik perguruan tinggi dgn sanksinya..
Duh, alasan penolakannya terdengar goblok sekali..",positif
7,Sak karep2mu,
8,"Melegalkan zina?
Ya kalian cari cari selangkangan mulu.",negatif
9,"Yg bilang permen ini melegalkan sex bebas, fix orng"" yg males baca, dan kalaupun baca sesuai nafsu mreka",negatif
10,"Ibarat kita pasang peringatan ""Dilarang kencing di sini"", terus dianggep boleh BAB.

LOGIKANYA MANA, WHYYYYYYPOSISI",negatif
11,Buset ini suara fattah wnf1? Nyampe sini juga euy wkwk,netral
12,"Dari dulu MUI cuma bisa nolak2 + ngritik doang
Dari dulu banyak kasus homo, pencabulan di pondok. kdrt, perkosaan dll MUI sampe skrng ayem2 aja ga nerbitin fatwa atau aturan

Giliran ada yng peduli malah dibantah mentah2",negatif
13,Gini klo pasal ini acc.. para ustad/habib mesum g bisa apa2 lagi,negatif
14,Mungkin anggota permendikbud otaknya ngeres semua,negatif
15,Lah ini saya di kampus samping orang pacaran apa harus saya laporkan ke dua orang ini melakukkan kegiatan zina di kampus ?,negatif
16,Kebiasaan indonesia gak bisa paham konteks,negatif
17,NANTI HAMIL NANGISS !!,negatif
18,R min,netral
19,"Seringkali orang salah fokus dengan apa yang di tetapkan oleh pemerintah, apakah ini benar benar kesalah fahaman atau intrik politik untuk menjatuhkan dan memberi kesan buruk? Seharusnya sebagai politisi, tokoh publik apapun itu berusaha untuk objektif menilai dan memahami sesuatu demi kemajuan bangsa bukan untuk unjuk identitas bahwa dialah yang harus didengarkan!",negatif
20,"justru dengan adana permen ini memberikan perlindungan buat korban untuk berkata tidak ketika ada pelecehan seksual karena sudah dilindungi secara hukum sekarang, apalagi udah jelas garis-garis terkait tindakan apa aja yang termasuk ke dalam pelecehan seksual",positif
21,"Yang menjadi poin disini adalah seharusnya pemerintah menutup segala hal yang mengarah kearah seksual (zina). Kalo dgn permen ini bsa menaggulangi kekerasan seksual, lalu nanti bagaimana dengan pergaulan bebas di ranah pemuda khususnya mahasiswa. Nahh itu harusnya juga dipikirkan, bagaimana jika nntinya ada kasus2 lain yg berhubungan dgn seksual. Melihat keadaan pemuda yg saat ini seperti tidak ada batasan norma dalam bergaul hidup sebebas bebasnya. Sungguh jauh dari norma2 beragama",netral
22,Pelecehan sesk itu banyak yg dibujuk dan akhirnya mau dari pada yg diperkosa karna jalan terakhir karna ga mau.,negatif
23,Orangnya aja culun y gtu,netral
24,audio editingnya jelek sekali,netral
25,"Masak frasa atas persetujuan pribadi itu diganti atas ijin partai-mu? beri solusi frasa yang baik, jangan memprotes atau membelokkan kata yang sepertinya sudah cocok untuk digunakan, dan jangan semudah nuntut untuk dihapus, itu solusi cetek.",positif
26,"Kata2 diganti,selama menteri nya bukan dr kadrun pasti digoyang terus,lihat pariwisata sekarang adem kan? seorang Wisnutama yg hebat aja tdk berkutik JD menteri,karena sekelilingnya kadrun semua",netral
27,"Yang protes dan cari celah tolol, udah tau konteks nya UU untuk kekerasan seksual, PAHAMI FOKUS UU NYA DIBUAT UTK APA. kalau permasalahan perzinaan atau perselingkuhan itu beda lagi dan sudah ada KUHP nya..... Kalau tolol dari lahir memang susah",positif
28,Yang menolak memiliki pemikiran konsevatif fundamental wkwkwwkwk,positif
29,"Kritik: Emang pelecehan seksual ada yang gak dilakukan tanpa kekerasan dan hasil persetujuan orang lain?

Opini; yang namanya pelecehan, verbal & non verbal mungkin yang panjenengan maksud, sudah pasti kekerasan dan orang macem apa yang ngasih persetujuan ke orang lain buat dilecehkan?",positif
30,"Mengembangkan pola pikir aneh dan dangkal memang cara mereka dalam menolak PPKS, mereka selalu menggunakan logika terbalik dalam berargumen menolak hal yg mereka tidak suka ?? rata2 mereka adalah pengikut Partai Kekerasan Seksual",positif
31,Mendi diem aja borr drpd resiko ???? udh serah indonesia nantinya jd apa bodoamat,netral
32,"Apa susahnya hapus diksi ""tanpa persetujuan korban"".   Yang nama nya korban pasti g setuju.",negatif
33,"Melegalkan zinah? Pasal zinah di KUHP aja syaratnya salah satu pelaku harus dalam hubungan pernikahan, mirip seperti aturan selingkuh memang. Lalu kalau para pelaku belum menikah? Ya tak bisa dijerat hukum pasal zinah. Bisa gak KUHP ini dibilang melegalkan zinah?  So, kalau masalah multi tafsir, pasal yang udah jelas aja bisa ko ditafsirkan lain. Wkwk",negatif
34,"kamu gak lulus ya untuk ujian matkul ""A"", kamu ujian ulang, temui bapak di oyo, kalo kamu gak mau, kamu gak bakalan lulus (pengalaman pribadi, mantan gua di ancem gitu)",netral
35,"Gampang saja. Tinggal hapus kata ""Tanpa Persetujuan"". Selesai urusan",negatif
36,Wah kacau,netral
37,"Niatnya baik, jalannya keliru. Kalau mereka mau zina jadi ilegal atau bisa dipidanakan, ya usahakan agar diatur di KUHP, jangan mendompleng masalah kekerasan seksual yang riil dan urgent. Pertama RUU P-KS, skrg Permendikbud ini, apapun niatnya tindakannya jelas2 menghambat.",positif
