,Komentar,Label
1,"Lha kekerasan seksual itu kan mmg definisinya memang harus ""tanpa persetujuan korban"". Pada kemana sih logika yg nolak2? Gimana melawan kekerasan seksual kalau tidak boleh didefinisikan apa yg dimaksud dgn kekerasan seksual.",positif
2,Jangan mendekati zina. Itu adalah aturan yang pasti dan tidak perlu pasal uu dll. Suatu saat Demokrasi ini tdak layak lagi untuk di gunakan. Karena isi nya hanya kepentingan para petinggi saja. Sangat sedikit untuk kemaslahatan masyarakatnya. Dan saya rasa ini bisa di jadikan tameng oleh para oknum. Bahwa melakukan kekerasan seksual jangan menggunakan media. Skrang saja banyak yang ngomong ngawur.,negatif
3,The law is an art. Semakin rinci semakin mudah dibelokkan..,netral
4,TETAPKAN DULU APA YANG DIMAKSUD DENGAN KEKERASAN SEKSUALITAS.,netral
5,Lbih cock diterapkan dikemendikbud Dan DPR.,netral
6,SEKALIAN AJA PAKAIAN ANAK SEKOLAH DAN MAHASISWA.ROK NYA HARUS DI ATAS LUTUT.ATAU GANTI AJA MENTERI NYA.MUNGKIN YG INGIN MEMBUBARKAN  M U I. DIA IKUT JUGA,negatif
7,Inilah makanya para korban ragu utk melapor. Usulan uu perlindungan hukum utk para korban pun jd polemik. Pdhal tinggal direvisi. Maaf uu yg katanya waktu itu akan diusulkn oleh suatu partai itu gmn kbrnya?,netral
8,Presenter suka motong percakapan narasumber..jd kurang ngeh gitu,netral
9,"Kami sebagai ormas Islam mendukung  PERMEDIKBUDRISTEK no 30, tentang Kekerasan Seksual, Tapi kami Menolak pasal 5 ayat 2 & 3, yg ada kata TANPA PERSETUJUAN KORBAN,
Dan seharusnya Permendikbud Nadiem menghilangkan yg 3 kata... TANPA PERSETUJUAN KORBAN",positif
10,"Negara kacau, pejabatnya nyeleneh coba urus yg subtantif",negatif
11,Menteri Nadiem segera dipecat,negatif
12,"ranah mendikbud ya kekerasan seksual
kalau yg lain ya ranah kementerian perempuan dan anak",positif
13,permendikbud sudah benar jangan di revisi lanjut laksanakan,positif
14,"berbicara ideologi boleh saja sbg muslim,, tp fakta ttp hrus diterima,, kalau bicara ini seolah memojokkan islam,, islam yg mana apakah hanya islam yg punya kotak amal dan menganjurkan bersedekah??? 
     kbetulan saja mreka yg sesat adl saudara qt sesama muslim jika mjd isue besar krn ksalahan mreka ya bkn ksalahan pnegak hukum, itu adl masalah brsama yg hrus dhadapi brsama bgmn caranya qt mnertibkan muslim dg pemahamanya agar tdk sesat,, mulailah dr menyedikitkan mmbahas surga sbg imbalan dan neraka sbg hukuman krn yg lbh harus dibahas adl cara mngenali tuhan dan konsekuensinya serta mnganut agama brarti mngabdi pd tuhan bkn mmpertahankan imej atau mngejar surga,,",netral
15,"Duh, ini peraturan kekerasan sexual. Bukan peraturan penzinahan. Inikan 2 hal yg berbeda. Makanya ada kata2 ""Tanpa persetujuan korban"" kl ada persetujuan, yah bukan kekerasan sexual.",positif
16,"Kalimatx saja sdh bisa difahami,TANPA PERSETUJUAN KORBAN.ini yg bikin undang2, blm bisa bahasa indonesia yg baik dan benar kayakx..namax aja KORBAN ya jls pastilah dia tidak setuju,kalau ada unsur persetujuan itu namax OKNUM,bukan korban lagi namax.jdi kalimat nya seharusx direvisi,baik itu ditambahkan atau dihilangkan sama sekali kalimat itu.kalau mau tidak jdi perdebatan tambah lagi dengan kalimat baik dapat persetujuan ataupun tidak atas persetujuan korban itu baru benar",negatif
17,Degradasi moral,netral
18,"Itu sama dg zinah HARAM, kcuali ada setuju lawan",netral
19,Makin aneh saja Negeriku sekarang ini,netral
20,"Coba deh buat yg setuju sama permen pasal 5 ini , kalo si korban di ancam untuk bilang kalo tindakan kekerasan seksual tsbt atas dasar suka sama suka trus pelaku nggak kenai permen di kampus kenanya pasal tindak asusila , trus yg kena sypa ? Korban atau pelaku ?",netral
21,"Kan harus DIDEFINISIKAN apa artinya perbuatan yg termasuk dlm Kekerasan Seksual.. dan definisinya ya memang TANPA PERSETUJUAN KORBAN. Logika aja, wajar kalimat itu harus dicantumkan.",positif
22," @Dmitrii D ,yang senang mesum pasti marah dengan permendikbud karena mencolek dan meraba raba saja sudah ada sangsinya apalagi apalagi minta buka baju itu melanggar moral dan KUHP",positif
23," @Muhammad thohir  Oke sampai disini, berarti Permendikbud tersebut bentrok dengan UU tentang pornografi lainnya",netral
24,"Asal suka sama suka tidak masalah bukan ¯\_( ?° ?? ?°)_/¯, ""saya kan berseks bebas hanya mematuhi permendikbud membolehkannya""",positif
25," @Dmitrii D ,pasal mana yang bentrok coba sebutkan kalau kamu memeng ngerti.jangan2 kamu hanya mengikuti ulama kadron",netral
26," @Dmitrii D ,itu isi otak mesumnya ulama2 kadron yang tidak ada di dalam permendikbud",negatif
27," @Muhammad thohir  Ini contoh KUHPnya
""Setiap orang yang melakukan persetubuhan dengan orang yang bukan suami atau istrinya dipidana karena perzinaan dengan pidana penjara paling lama 1 (satu) tahun atau denda Kategori II.""

Permendikbud 30
l. menyentuh, mengusap, meraba, memegang, memeluk, mencium dan/atau menggosokkan bagian tubuhnya pada tubuh Korban tanpa persetujuan Korban;


m. membuka pakaian Korban tanpa persetujuan Korban;.

Di KUHP sudah dinyatakan secara gamblang/jelas, dan tidak ada keambiguan atau multitafsir bahwa SEKS BEBAS dilarang. 
Sedangkan di Permendikbud 30 didapati boleh melakukan kegiatan seksual ATAS PERSETUJUAN KORBAN seperti mencium dan menggesekkan kemaluan. Jadi sah sah saja bukan ?? kalau saya mengimplementasikan Permendikbud 30 walaupun bentrok dengan KUHP. Jadi yg disalahkan KUHP nya atau Permendikbudnya yg ambigu dan perlu direvisi itu?",netral
