,term,TF-IDF
1524,tuju,10.35643684939782
89,atur,9.029142593346625
359,dn,8.812536050913337
690,keras,7.990902573473491
1328,seksual,7.10040872373605
1612,zinah,6.808739022855128
1412,suka,6.730847833569088
740,korban,6.557146578815505
221,bsa,6.443663008278487
70,aoa,6.075944967496014
1011,ndak,5.6953567821740245
711,klw,5.3273963508446345
1171,permendikbud,5.112840114633247
429,gak,4.770833498698492
1104,org,4.586925318510331
1505,tri,4.586205555939799
528,hukum,4.575512870212537
775,laku,4.561321613962992
798,legal,4.2940970542947925
76,aq,4.284558661361759
1134,pasal,4.190435255992225
1194,pks,4.111896383083335
1170,permen,4.025897510079485
649,kampus,3.9869166750621123
1486,tindak,3.9407871724833083
611,jga,3.7339910314513887
420,ga,3.650987874662578
1551,undang,3.6368463542176688
138,bebas,3.5840157894738107
759,kuhp,3.4269589122248245
200,bnr,3.3998774581265656
1358,sex,3.3668452118997862
1569,uu,3.246098168660076
1271,revisi,3.14620153219653
525,hrs,3.114007935008517
53,anak,3.100578659118938
1012,negara,3.054355961480245
1066,no,3.0431239708013447
796,leceh,2.884329088208922
1420,susila,2.872416830282706
332,didik,2.8524169196183706
1299,salah,2.8483227466560743
224,buat,2.8479736981893407
622,jngan,2.78704883141386
103,baca,2.732157574782141
195,blm,2.6897950725761577
18,agama,2.664502600780904
243,byk,2.6204601945949255
1540,udah,2.5775608640449277
296,dalem,2.512714604442069
1543,udh,2.4680448869048197
555,indonesia,2.432113478134916
1203,poligami,2.3924625931608325
1495,tolak,2.372210940912852
710,klu,2.3490673044915935
1514,tsb,2.292443276569589
1555,untk,2.2491424869705394
1295,ruu,2.2331170618619747
140,beda,2.2263368308513587
1110,otak,2.168542005755593
1173,permendikbudristek,2.081135828486923
1359,sexual,2.0169752701200405
74,apologize,1.9771945716900658
1345,senjata,1.963534801091244
432,ganti,1.9542642881646597
872,masalh,1.9526303529302642
1559,urus,1.8943058000274002
846,mahasiswi,1.8719111075667088
107,bae,1.856360849887813
417,frase,1.8456384787645916
845,mahasiswa,1.8320104870788643
930,mlh,1.7820606247907291
817,lindung,1.7788900998991068
364,dosen,1.7778779874101194
1365,sila,1.7697220631046562
781,lanjut,1.7586119725175815
583,iya,1.7093247535295837
1469,terap,1.6763061164686015
635,kadrun,1.659677142848909
173,bicara,1.6403131465614937
1427,syah,1.6021274892641924
911,mesum,1.5954980772251177
943,mnjdi,1.594458293696904
869,mas,1.5811101910558931
333,diem,1.5644416643992534
1167,perkosa,1.558780221297968
607,jerat,1.547162483690636
569,isi,1.5419916656695523
653,karna,1.5335420823234749
1118,paham,1.5184478723001436
968,muhammad,1.5100930496430007
779,langgar,1.4869561262192155
1162,perempuan,1.476117584263838
792,lbh,1.4626924021017549
637,kait,1.4550436984304556
894,mendikbud,1.4430883666187353
685,kena,1.4275943920459864
491,hamil,1.4136495458993958
71,apa,1.4043496922985155
662,kayak,1.3905032035702973
790,lawan,1.3902676234157632
595,jaman,1.3762213141839652
826,logika,1.3652291463884056
368,dpt,1.3588920496561274
1418,sus,1.3573676908963157
58,andarwati,1.3573676908963157
1059,nikah,1.3525978690586473
602,jd,1.348885131174179
986,nadiem,1.3374489845791224
209,boleh,1.3335711466706026
275,coba,1.332963594810891
1236,purnomo,1.3291810925443228
713,knp,1.329065470985997
453,gimana,1.3226008915919116
1164,perintah,1.321928829017311
629,justeru,1.3207661975369613
1499,tpi,1.3162612587729738
1093,oke,1.3111186246828854
1498,tp,1.3100579478198877
970,mui,1.308032308019296
783,lapor,1.2908926628857453
1123,paksa,1.2739131684720717
1584,wanita,1.2700684878022952
860,mana,1.267923123645623
1132,partai,1.265023965672603
623,jokowi,1.2628994036078134
43,allah,1.260139190078436
454,gin,1.258338665175622
593,jalan,1.251299660042035
1304,sampek,1.2512390868752816
559,inget,1.2446261034687887
730,konteks,1.239969656960929
502,hasil,1.2389926205683306
1445,tangan,1.2314705664867236
457,gitu,1.2174452914256397
1114,pacar,1.216349704126193
1430,syariat,1.2124507722082452
255,cegah,1.2085716889469145
1070,norma,1.2029799455878936
1326,sekolah,1.1912931558966946
403,faham,1.190734031648837
495,hapus,1.1816785078288934
229,bukti,1.1814970728676761
1416,suruh,1.179530078206609
1536,tutup,1.1769104958528946
410,fihak,1.1743072888530521
992,nama,1.1740890662562045
1255,ranah,1.1695705570363224
785,larang,1.1613592913028015
1518,ttp,1.1513716682951094
30,akhsan,1.1445994354766122
59,andi,1.1445994354766122
542,ikat,1.1433296092850282
1408,suara,1.1368061304208936
293,dah,1.1366209913114351
178,bila,1.1207779743015012
377,dukung,1.1205084094766644
830,lu,1.1000591196117915
54,ancam,1.0924311735678764
108,bagai,1.0878664555134283
543,ikut,1.087476236709874
677,kelas,1.0867047282784623
1444,tanda,1.086477639105822
1183,pikir,1.0788553822609317
831,luar,1.0732197397156802
251,cari,1.073123148461674
947,moral,1.0727074236805323
170,bgt,1.0720997019417542
1124,panca,1.0702024926387381
44,alluxes,1.0684538006884465
643,kali,1.0664113295744466
496,haram,1.0624741744105937
948,moril,1.0613735379821434
246,cabut,1.0554810691832928
269,cium,1.0525609374576914
155,bentrok,1.0518130306365725
109,bagus,1.0369916765168303
1566,usul,1.0286920980900405
617,jk,1.0275254666673908
228,buka,1.0166825957998658
1611,zina,1.0140297932018858
858,malu,1.0115457956701244
