,Komentar,Label,TOKENIZATION,STOP_REMOVAL,STEMMER,Komentar_Final
0,seharusnya ruu tentang perlindungan korban kekerasan seksual lah yang harus di legalkan karena sudah terlalu banyak korban kekerasan menjadi tersangka,negatif,"['seharusnya', 'ruu', 'tentang', 'perlindungan', 'korban', 'kekerasan', 'seksual', 'lah', 'yg', 'hrs', 'di', 'legalkan', 'krn', 'sdh', 'terlalu', 'byk', 'korban', 'kekerasan', 'mnjdi', 'tersangka']","['ruu', 'perlindungan', 'korban', 'kekerasan', 'seksual', 'hrs', 'legalkan', 'byk', 'korban', 'kekerasan', 'mnjdi', 'tersangka']","['ruu', 'lindung', 'korban', 'keras', 'seksual', 'hrs', 'legal', 'byk', 'korban', 'keras', 'mnjdi', 'sangka']",ruu lindung korban keras seksual hrs legal byk korban keras mnjdi sangka
1,bahkan sekelas goto aja masih kelolosan apalagi kita yang hanya rempahan rengginang kong wan ,negatif,"['bahkan', 'sekelas', 'goto', 'aja', 'masih', 'kelolosan', 'apalagi', 'kita', 'yg', 'cuma', 'rempahan', 'rengginang', 'kong', 'wan']","['sekelas', 'goto', 'kelolosan', 'rempahan', 'rengginang', 'kong', 'wan']","['kelas', 'goto', 'lolos', 'rempah', 'rengginang', 'kong', 'wan']",kelas goto lolos rempah rengginang kong wan
2,mendikbud yg tdk faham adab bangsa timur,negatif,"['mendikbud', 'yg', 'tdk', 'faham', 'adab', 'bangsa', 'timur']","['mendikbud', 'tdk', 'faham', 'adab', 'bangsa', 'timur']","['mendikbud', 'tdk', 'faham', 'adab', 'bangsa', 'timur']",mendikbud tdk faham adab bangsa timur
3,kirain digugat gara gara data mining ,negatif,"['kirain', 'digugat', 'gara', 'gara', 'data', 'mining']","['kirain', 'digugat', 'gara', 'gara', 'data', 'mining']","['kirain', 'gugat', 'gara', 'gara', 'data', 'mining']",kirain gugat gara gara data mining
4,narasi suka sama yg bebas,negatif,"['narasi', 'suka', 'sama', 'yg', 'bebas']","['narasi', 'suka', 'bebas']","['narasi', 'suka', 'bebas']",narasi suka bebas
5,kawaall terooss,negatif,"['kawaall', 'terooss']","['kawaall', 'terooss']","['kawaall', 'terooss']",kawaall terooss
6,meta juga gk kena masa go to kena ,negatif,"['meta', 'jga', 'gk', 'kena', 'masa', 'go', 'to', 'kena']","['meta', 'jga', 'gk', 'kena', 'go', 'to', 'kena']","['meta', 'jga', 'gk', 'kena', 'go', 'to', 'kena']",meta jga gk kena go to kena
7,permasalahan kekerasan seksual udah lamaa bgt jd polemik krn korban yg speak up di medsos jg banyak yg diberi stigma jg ada aja dan disalahkan jg ada aja gak ngerti knp nyerang korban seiring berjalannya waktu kasusnya bertambah terus menerus tp entah knp ruu pks bhkn dgn permendikbud ini pun masih aja ditentang sy gak ngerti betapa tidak inginnya mereka melindungi korban gak punya hati saya rasa ,netral,"['permasalahan', 'kekerasan', 'seksual', 'udah', 'lamaa', 'bgt', 'jd', 'polemik', 'krn', 'korban', 'yg', 'speak', 'up', 'di', 'medsos', 'jg', 'byk', 'yg', 'diberi', 'stigma', 'jg', 'ada', 'aja', 'dn', 'disalahkan', 'jg', 'ada', 'aja', 'gak', 'ngerti', 'knp', 'nyerang', 'korban', 'seiring', 'berjalannya', 'waktu', 'kasusnya', 'bertambah', 'terus', 'menerus', 'tp', 'entah', 'knp', 'ruu', 'pks', 'bhkn', 'dgn', 'permendikbud', 'ini', 'pun', 'masih', 'aja', 'ditentang', 'sy', 'gak', 'ngerti', 'betapa', 'ndak', 'inginnya', 'mereka', 'melindungi', 'korban', 'gak', 'punya', 'hati', 'aq', 'rasa']","['permasalahan', 'kekerasan', 'seksual', 'udah', 'lamaa', 'bgt', 'jd', 'polemik', 'korban', 'speak', 'up', 'medsos', 'jg', 'byk', 'stigma', 'jg', 'dn', 'disalahkan', 'jg', 'gak', 'ngerti', 'knp', 'nyerang', 'korban', 'seiring', 'berjalannya', 'kasusnya', 'bertambah', 'menerus', 'tp', 'knp', 'ruu', 'pks', 'bhkn', 'permendikbud', 'ditentang', 'sy', 'gak', 'ngerti', 'betapa', 'ndak', 'inginnya', 'melindungi', 'korban', 'gak', 'hati', 'aq']","['masalah', 'keras', 'seksual', 'udah', 'lamaa', 'bgt', 'jd', 'polemik', 'korban', 'speak', 'up', 'medsos', 'jg', 'byk', 'stigma', 'jg', 'dn', 'salah', 'jg', 'gak', 'ngerti', 'knp', 'nyerang', 'korban', 'iring', 'jalan', 'kasus', 'tambah', 'terus', 'tp', 'knp', 'ruu', 'pks', 'bhkn', 'permendikbud', 'tentang', 'sy', 'gak', 'ngerti', 'betapa', 'ndak', 'ingin', 'lindung', 'korban', 'gak', 'hati', 'aq']",masalah keras seksual udah lamaa bgt jd polemik korban speak up medsos jg byk stigma jg dn salah jg gak ngerti knp nyerang korban iring jalan kasus tambah terus tp knp ruu pks bhkn permendikbud tentang sy gak ngerti betapa ndak ingin lindung korban gak hati aq
8,tim narasi niat banget ngehapus  comment saya yak ,negatif,"['tim', 'narasi', 'niat', 'bgt', 'ngehapus', 'comment', 'aq', 'yak']","['tim', 'narasi', 'niat', 'bgt', 'ngehapus', 'comment', 'aq', 'yak']","['tim', 'narasi', 'niat', 'bgt', 'ngehapus', 'comment', 'aq', 'yak']",tim narasi niat bgt ngehapus comment aq yak
9,goped bagus ,netral,"['goped', 'oke']","['goped', 'oke']","['goped', 'oke']",goped oke
10,kontranya gajelas banget galiat urgensi,negatif,"['kontranya', 'gajelas', 'bgt', 'galiat', 'urgensi']","['kontranya', 'gajelas', 'bgt', 'galiat', 'urgensi']","['kontra', 'gajelas', 'bgt', 'galiat', 'urgensi']",kontra gajelas bgt galiat urgensi
11,hadehh ya semoga terbaik buat indonesia tercintaku huhuhuhuu sehat mba cantiku juga ,positif,"['hadehh', 'ya', 'semoga', 'terbaik', 'buat', 'indonesia', 'tercintaku', 'huhuhuhuu', 'sehat', 'mba', 'cantiku', 'jga']","['hadehh', 'semoga', 'terbaik', 'indonesia', 'tercintaku', 'huhuhuhuu', 'sehat', 'mba', 'cantiku', 'jga']","['hadehh', 'moga', 'baik', 'indonesia', 'cinta', 'huhuhuhuu', 'sehat', 'mba', 'cantiku', 'jga']",hadehh moga baik indonesia cinta huhuhuhuu sehat mba cantiku jga
