macam;macem
wow;woww
amin;aminn
selamat;met
menetas;netaas
keberapa;keberpa
eh;eeeehhhh
kata-katanya;kata2nyaaa
halo;hallo
kakak;kaka
kak;ka
dah;daah
ah;aaaaahhhh
ya;yaa
semoga;smga
selalu;slalu
amin;amiin
kakak;kk
terus;trus
kakak;kk
sih;sii
menyenangkan;nyenengin
banget;bgt
gemas;gemess
aku;akuuu
jangan;jgn
ya;yaa
sudah;udah
begitu;gitu
saja;aja
menggemaskan;gemesiin
menyenangkan;menyenangkn
ribu;rb
aku;akau
menyarankan;saranin
menemukan;nemuin
ya;yah
selamat;met
manis-manisnya;mnis2nya
begitu;gtu
itu;tu
idola;idolaa
banget;bangett
kak;kaakk
baik;baaiikkk
telat;telaatt
kak;kaak
yang;yg
lagi;lg
sekarang;skarang
yang;yg
sempat;sempet
karena;karna
enggak;ngga
karena;karna
mantap;mantep
loh;loohhh
ya;yeee
bagus;baguuuuus
sampai;sampe
mengikuti;ngikutin
gayanya;gayany
mengikuti;ngikutin
lagi;lg
bang;bnk
awas;awaas
sip;siip
habis;abizzzz
keren;kerrrrennnn
saya;sayaa
pengin;pengen
kapan;kpan
banget;bgt
sama;sma
sedikit;sdkit
banget;bngt
lagu;lgu
benar-benar;bener2
karismanya;kharismanya
aku;aq
yang;yg
jadi;jdi
lagi;lgi
enggak;gk
kayak;kek
lagunya;lgunya
kapan;kpan
keren;kereeeeennnn
menyamakan;nyamain
selalu;slalu
laki;lakik
sip;siippp
bukan;bkn
menyangka;nyangka
banget;bangettt
keren;kereeen
wih;wihhhhhh
tapi;tp
ingat;inget
banget;bingitsss
dimana;dmn
biru;bird
kalo;kaloo
bagaimana;gimna
tuh;tuuh
mencebur;nyebur
yang;yng
dibuat;dbuat
kan;kn
orang;org
pengin;pingin
banget;bgt
itu;tu
bangsat;bangcat
ya;yha
wah;waoohhh
pengin;pngn
tempat;tmpt
deh;dhe
indah;indahhh
banget;bgttt
tuh;tuhh
berarti;berarto
enggak;ga
amin;aminn
amin;aamiin
amin;amiiinn
dengan;dgn
amin-amin;aminnnn2
amin;amiin
amin;aamiin
amin;amiiiin
amin;amiin
amin;aminnn
amien;amiend
ya;yaaa
amin;ameen
amin;aminnnn
amin;amiiinnn
kayak;kek
mengomong;ngomong
ingat;inget
memamerkan;mamer
kali;keles
jelas;jelase
lihat;liat
uwak;uwakk
entar;ntar
bisa;bs
begini;gini
jangan;jgn
sampai;sampe
aku;aq
salah fokus;salfok
anjir;njir
pink;piiink
astagfirullah;astgfrullah
kok;ko
celana dalam;cd
enggak bisa;gbs
bahasa;bhs
ya;yaaaaaa
enggak;gak
bangsat;bangshad
ya;yaa
astaga;stagahhhh
kapan;kpn
lo;iooo
dia;dy
ada;d
masalah;mslh
kita;qt
jadi;jdi
pelampiasan;plampiasannn
masalah;masalahh
toh;tohh
ingin;inghinn
di;dhi
mengerti;mengherthii
yang;yanckh
selalu;chelalyyu
tersakiti;therchakitty
mau;mauuuuu
kali;kaliii
banget;bangat
bikin;bkin
dong;dongg
yuk;yokkk
begini;gini
yuk;yu
segar;sweger
keren;kereeen
ganteng;gantengg
banget;bingiit
enggak;gak
terbuka;kebukaaa
tapi;tpi
kelihatan;keliatan
ya;yakk
kayak;kayakk
asli;asliii
kayak;kyk
cantiknya;cntiknya
banget;bat
enggak;ga
melihatnya;ngeliatnya
selalu;sll
banget;bet
anjir;njerr
banget;bingiiittttzzzz
banget;bgt
kak;k
kalo;klo
lagi;lg
dong;dooong
masih;masi
begini;gni
kayak;kek
begini;gini
saja;aja
sudah;udah
hendak;hdk
yang;yg
juga;jugaa
maksud;mksud
saja;aj
tetap;tetep
tapi;tp
mbaknya;mbakx
cantik;syantik
cantik;syantik
kita;kite
apa;pa
maksud;mksd
berjilbabnya;bejilbbnya
masih;masio
ya;yahhh
terima kasih;makasih
boleh;leh
juga;ugaaa
ya;yah
jerawat;jerewi
hilang;ilang
jilbabnya;jilbabnyaah
kayak;kek
yuk;yuuuk
warna;warnaaa
punya;punyaaa
cantik;cantiik
suka;sukaaak
kebayanya;kebayanyaa
memantas;mantes
mereka;merekaaaa
juga;jugaaa
gila;gilaaaa
tiga-tiganya;tiga2nya
lucu;lucuu
gemas;emessss
lucu;ucullllll
jadi;jdi
malas;males
banget;bangeettt
gemas;gemesshh
mengomong;ngomong
apa;apaaa
ampun;ampuunn
pengin;pengen
cium;ciuuuummmm
sambil;mbil
mengomong;ngmng
mengomong;ngemeng
apa;epe
sih;seehh
sayang;yank
lucu;ucul
ya;yahh
kayak;kek
gue;gw
lucu;lucuu
mengakak;ngakak
astagfirullah;astagfirrullah
bukan;bkn
tapi;tpi
suer;suerrr
enggak;gk
minta;mnta
lagi;lg
sayang;syg
cantik;ntik
punya;pny
dapat;dapet
kayak;kek
begini;gini
suruh;suru
lucu;lucuuuu
ketawa;ketawakkkk
