,Komentar,Label
0,kekerasan seksual kan memang definisinya memang persetujuan korban sih logika nolak melawan kekerasan seksual didefinisikan kekerasan seksual,positif
1,mendekati zina aturan pasal dl sat demokrasi tdak layak gunakan isi nya kepentingan petingi kemaslahatan masyarakatnya jadikan tameng oknum melakukan kekerasan seksual mengunakan media skrang bicara berbicara sembarangan,negatif
2,law is an art rinci mudah dibelokan,positif
3,tetapkan kekerasan seksualitas,netral
4,cocok diterapkan dikemendikbud dpr,netral
5,pakaian anak sekolah mahasiswa rok nya lutut ganti menteri nya mungkin membubarkan m i,negatif
6,korban ragu melapor usulan perlindungan hukum korban polemik pdhal tingal direvisi maf diusulkn partai gmn kbrnya,positif
7,presenter suka motong percakapan narasumber sadar,netral
8,ormas islam mendukung permedikbudristek kekerasan seksual menolak pasal ayat persetujuan korban permendikbud nadiem menghilangkan persetujuan korban,positif
9,negara kacau pejabatnya nyeleneh coba urus subtantif,negatif
10,menteri nadiem dipecat,negatif
11,ranah mendikbud iya kekerasan seksual iya ranah kementerian perempuan anak,positif
12,permendikbud benar revisi laksanakan,positif
13,berbicara ideologi sbg muslim fakta diterima bicara memojokan islam islam islam kotak amal menganjurkan bersedekah kbetulan mreka sesat adl saudara muslim mjd isue ksalahan mreka iya ksalahan pnegak hukum adl brsama dhadapi brsama caranya mnertibkan muslim pemahamanya sesat mulailah dr menyedikitkan mbahas surga sbg imbalan neraka sbg hukuman lbh dibahas adl mngenali tuhan konsekuensinya mnganut agama brarti mngabdi tuhan mpertahankan imej mngejar surga,positif
14,aduh peraturan kekerasan sexual peraturan penzinahan inikan berbeda persetujuan korban persetujuan yah kekerasan sexual,positif
15,kalimatx difahami persetujuan korban bikin undang bahasa indonesia benar kayakx namax korban iya setuju unsur persetujuan namax oknum korban namax kalimat nya seharusx direvisi ditambahkan dihilangkan kalimat perdebatan kalimat persetujuan persetujuan korban benar,negatif
16,degradasi moral,netral
17,zinah haram setuju lawan,positif
18,aneh negeriku,netral
19,coba deh setuju permen pasal si korban ancam bilang tindakan kekerasan seksual tsbt dasar suka suka trus pelaku ngak kenai permen kampus kenanya pasal tindak asusila trus kena sypa korban pelaku,positif
20,kan didefinisikan perbuatan dlm kekerasan seksual definisinya iya memang persetujuan korban logika wajar kalimat dicantumkan,positif
21,dmitri senang mesum marah permendikbud mencolek meraba raba sangsinya buka baju melangar moral kuhp,positif
22,muhamad thohir oke disini permendikbud bentrok pornografi lainya,netral
23,suka suka kan berseks bebas mematuhi permendikbud membolehkanya,positif
24,dmitri pasal bentrok coba sebutkan memeng mengerti mengikuti ulama kadron,positif
25,dmitri isi otak mesumnya ulama kadron dalam permendikbud,negatif
