teks label 	label
sentra vaksinasi sumber wangi diperpanjang agustus madiun xe x x sentra vaksinasi covid sumber wangi diperpanjang layanan vaksinasi wisata diperpanjang agustus perpanjangan pengga 2 	2
xe x xcalhamdulillah angka penularan virus kian melandai antusiasme wisatawan melancong destinasi halal dunia 2 	2
mencegah kerusakan amp abrasi konservasi mangrove disulap kawasan wisata kelompok masyarakat tirtawangi merintis konservasi mangrove pantaibengkak banyuwangi jatim pandemi melanda sagakbr wisata 1 	1
dah nih gk liburan pasca pandemi saranin wisata yg keren dongggg tanggalgajian agustus 1 	1
abis pandemi kalinya kampus udah anunya gitu daerah wisata kabupaten 1 	1
wabah pmk pd hewan dgn bgmn pemerintah mengantisipasi pandemi covid bny pejabat menyepelekannya pandemi promo wisata digencarkan bg turis mancanegara hgg jt org terpapar covid dgn angka kematian gt rb jiwa 1 	1
bali pantai pandawa bali wisata bali pandemi pantai pas via 0 	0
desa wisata diharapkan membangkitkan lesunya bisnis pariwisata akibat xc xapandemi 2 	2
sektor desa wisata andalan mendorong kebangkitan ekonomi desa pasca pandemi momen lebaran libur 2 	2
kominfo blokir inanitu pegiat wisata labuan bajo blokir aktifitas akibat kebijakan anu anu tuhan abis pandemi je 1 	1
kominfo blokir inanitu pegiat wisata labuan bajo blokir aktifitas akibat kebijakan anu anu tuhan abis pandemi je rehat ka pdhal slogan g pulih sapaaaa 1 	1
kepikiran pandemi bikin wisata kuliner gitu fans bola kebanyakan mahasiswa diy biar tau lele mangut dst jogja gak gudeg 1 	1
dunia pendidikan status pandemi dicabut yah dinas pendidikan mengizinkan kegiatan karya wisata yah realitanya sekolah nekat sih xf xf x x 2 	2
sektor kesehatan erick momentum pandemi erick fasilitas rumah sakit skala internas 2 	2
sektor kesehatan erick momentum pandemi erick fasilitas rumah sakit skala internasional tujuan wisata medis sobaterick erickthohir 2 	2
wisata turkiye emang murah murah aja sih pandemi ya aja temen gw yg story nya lg liburan turki 2 	2
live now wisata dibuka bgmn berwisata aman pandemi yg diperhatikan gabung yuk ruangpublikkbr bareng amp stpmd apmd live yogyakarta live yt 2 	2
wisata dibuka bgamna berwisata aman pandemi ya 2 	2
wisata dibuka bgamna berwisata aman pandemi diperhatikan besok yuk gabung webinarkbrxpmi stpmd apmd yogyakarta live yogyakarta daftar 1 	1
satpolairud ajak nelayan pengelola objek wisata bangkit pasca pandemi 0 	0
gak suka acaranya baiknya diam gak merugikan acara digagas wisata berusaha comeback pandemi 1 	1
lanjutt acara gelar budaya salah desa wisata wonogiri tepatnya desa wisata conto ngrekso bumi tanggal suro juli budaya disetiap tahunnya pandemi kemarin terpaksa ditahan semoga lancar ya acaranya aamiin 2 	2
sampe komentarin sm keluarga krn ga setuju dgn pernyataan gue yg pg pandemi lbh aman krn orang byk yg ga tp emg kenyataan nya dibanding yg pilih wisata psbb lg kendor tp yaudah ya org pilihan 1 	1
gue amp keluarga dgn ttp wisata ky recharge energi krn berbulan xc xb dirumah aja pandemi keluarga gue emg yg ga berseliweran kalo ga butuh xc xb bgt mall jg jarang bgt krn tipe gue amp keluarga emg lbh suka main terbuka 2 	2
tp yg sebenernya adlh lg menikmati yg iya emg beresiko bgt xc xb rumah pandemi tp gue amp keluarga aman krn tmpt wisata tuh bener xc xb sepi jd intensitas ketemu org tuh minim bgt 1 	1
imbas pandemi covid kondisi wisata triple t selo boyolali 1 	1
perjalanan wisata pandemi berkunjung salah penggalan sejarah kota solo harta karun kota kisah mangkunegaran xf xf x x xf xf xf xbb xf xf x x xf xf xf xbb samsungmembers travelwithsamsungmembers xf xf x xbgalaxy m withgalaxy 1 	1
ditertibkan odong odong jalan raya mobil odong odong tsb aslinya angkutan khusus kawasan wisata pandemi covid wisata sepi mobil odong odong tsb berkeliaran jalan raya 1 	1
wisata masalalu tepatnya pandemi wkwkwkw yeaaa 1 	1
revitalisasi wisata diberbagai daerah menjadikan potensi ekonomi bumn kontribusi 2 	2
mas mentrih bumn kontribusi dlm menghidupkan sektor pariwisata yg terpukul pand 2 	2
pandemi bikin wisata hutan kota kaki gandul wonogiri bangkrut beritajogja jogja jogjaistimewa 1 	1
