teks	label
sentra vaksinasi di sumber wangi diperpanjang sampai  agustus madiun  xe x x sentra vaksinasi covid  di sumber wangi diperpanjang dua hari  layanan vaksinasi di tempat wisata itu diperpanjang sampai  agustus mendatang  perpanjangan dua hari sebagai pengga	2
xe x xcalhamdulillah angka penularan virus kian melandai  antusiasme wisatawan melancong ke destinasi halal dunia semakin tinggi	2
selain mencegah kerusakan  amp  abrasi  konservasi mangrove bisa disulap menjadi kawasan wisata  nah  kelompok masyarakat tirtawangi merintis konservasi mangrove di pantaibengkak  banyuwangi  jatim  namun  sejak pandemi melanda sagakbr wisata	1
dah lama nih gk liburan pasca pandemi  saranin tempat wisata yg keren dongggg  tanggalgajian awal agustus	1
abis pandemi  pertama kalinya saya ke kampus udah ada anunya gitu  saya kira saya masih di daerah wisata kabupaten	1
betul pak wabah pmk pd hewan ini mirip dgn bgmn pemerintah mengantisipasi pandemi covid   bny pejabat menyepelekannya di awal pandemi  bahkan promo wisata malah digencarkan bg turis mancanegara hgg akhirnya  jt org per hari ini terpapar covid dgn angka kematian  gt   rb jiwa	1
bali hari ini pantai pandawa bali wisata ke bali saat pandemi pantai pas    via	0
desa wisata diharapkan dapat membangkitkan lesunya bisnis pariwisata akibat xc xapandemi	2
sektor desa wisata masih menjadi andalan dalam mendorong kebangkitan ekonomi desa pasca pandemi  momen lebaran dan libur	2
kominfo blokir inanitu  pegiat wisata labuan bajo blokir aktifitas akibat kebijakan anu anu  tuhan  abis pandemi je  sini	1
kominfo blokir inanitu  pegiat wisata labuan bajo blokir aktifitas akibat kebijakan anu anu  tuhan  abis pandemi je  sini rehat sejenak ka  pdhal katanya slogan g pulih bersama  bersama sapaaaa	1
sudah kepikiran sejak sebelum pandemi bikin wisata kuliner gitu buat fans bola dan kebanyakan kan mahasiswa luar diy  biar tau lele mangut dst  jogja gak cuma gudeg	1
di dunia pendidikan itu status pandemi belum dicabut yah  kok dinas pendidikan belum mengizinkan kegiatan karya wisata yah  walaupun realitanya banyak sekolah yang nekat sih  xf xf x x	2
di sektor kesehatan  erick menjelaskan  dalam momentum pandemi erick mempersiapkan fasilitas rumah sakit skala internas	2
di sektor kesehatan  erick menjelaskan  dalam momentum pandemi erick mempersiapkan fasilitas rumah sakit skala internasional dengan tujuan wisata medis  sobaterick erickthohir	2
ini wisata turkiye emang murah apa sedang murah aja sih  sejak pandemi ya ada aja temen gw yg story nya lg liburan ke turki	2
live now  kini tempat wisata banyak dibuka kembali  namun perlu diingat adalah bgmn berwisata aman di tengah pandemi  apa yg perlu diperhatikan  gabung yuk di ruangpublikkbr bareng  amp  stpmd apmd  live dari yogyakarta  live yt	2
kini tempat wisata banyak yang dibuka kembali  namun perlu diingat adalah bgamna berwisata aman di tengah pandemi  apa ya	2
kini tempat wisata banyak yang dibuka kembali  namun perlu diingat adalah bgamna berwisata aman di tengah pandemi  apa yang perlu diperhatikan  besok  yuk gabung di webinarkbrxpmi dan stpmd apmd yogyakarta live dari yogyakarta  daftar	1
satpolairud beri ajak nelayan dan pengelola objek wisata untuk kembali bangkit pasca pandemi	0
kalau gak suka sama acaranya baiknya diam  kan gak merugikan kalian juga acara digagas tempat wisata yang berusaha comeback setelah pandemi	1
lanjutt acara gelar budaya di salah satu desa wisata di wonogiri  tepatnya di desa wisata conto  ngrekso bumi di tanggal  suro   juli    memang budaya ini biasanya ada disetiap tahunnya karena pandemi kemarin jadi terpaksa ditahan dulu  semoga lancar ya acaranya  aamiin	2
sampe dulu pernah di komentarin sm keluarga sendiri krn dia ga setuju dgn pernyataan gue yg  keluar pg pandemi lbh aman krn orang byk yg ga keluar   tp emg itu kenyataan nya  dibanding dia yg pilih wisata ketika psbb lg kendor  tp yaudah lah ya setiap org punya pilihan masing	1
