,Unnamed: 0,Komentar,Label,TOKENIZATION,STOP_REMOVAL,STEMMER,Komentar_Final,sentiment
0,0,lha kekerasan seksual itu kan mmg definisinya memang harus tanpa persetujuan korban pada kemana sih logika yg nolak gimana melawan kekerasan seksual kalau tidak boleh didefinisikan apa yg dimaksud dgn kekerasan seksual ,positif,"['lha', 'kekerasan', 'seksual', 'itu', 'kan', 'mmg', 'definisinya', 'memang', 'harus', 'tanpa', 'persetujuan', 'korban', 'pada', 'kemana', 'sih', 'logika', 'yg', 'nolak', 'gimana', 'melawan', 'kekerasan', 'seksual', 'kalau', 'tidak', 'boleh', 'didefinisikan', 'apa', 'yg', 'dimaksud', 'dgn', 'kekerasan', 'seksual']","['lha', 'kekerasan', 'seksual', 'mmg', 'definisinya', 'persetujuan', 'korban', 'kemana', 'logika', 'nolak', 'gimana', 'melawan', 'kekerasan', 'seksual', 'tidak', 'didefinisikan', 'kekerasan', 'seksual']","['lha', 'keras', 'seksual', 'mmg', 'definisi', 'tuju', 'korban', 'mana', 'logika', 'nolak', 'gimana', 'lawan', 'keras', 'seksual', 'tidak', 'definisi', 'keras', 'seksual']",lha keras seksual mmg definisi tuju korban mana logika nolak gimana lawan keras seksual tidak definisi keras seksual,0.0
1,1,jangan mendekati zina itu adalah aturan yang pasti dan tidak perlu pasal uu dll suatu saat demokrasi ini tdak layak lagi untuk di gunakan karena isi nya hanya kepentingan para petinggi saja sangat sedikit untuk kemaslahatan masyarakatnya dan saya rasa ini bisa di jadikan tameng oleh para oknum bahwa melakukan kekerasan seksual jangan menggunakan media skrang saja banyak yang ngomong ngawur ,negatif,"['jangan', 'mendekati', 'zina', 'itu', 'adalah', 'aturan', 'yang', 'pasti', 'dan', 'tidak', 'perlu', 'pasal', 'uu', 'dll', 'suatu', 'saat', 'demokrasi', 'ini', 'tdak', 'layak', 'lagi', 'untuk', 'di', 'gunakan', 'karena', 'isi', 'nya', 'hanya', 'kepentingan', 'para', 'petinggi', 'saja', 'sangat', 'sedikit', 'untuk', 'kemaslahatan', 'masyarakatnya', 'dan', 'saya', 'rasa', 'ini', 'bisa', 'di', 'jadikan', 'tameng', 'oleh', 'para', 'oknum', 'bahwa', 'melakukan', 'kekerasan', 'seksual', 'jangan', 'menggunakan', 'media', 'skrang', 'saja', 'banyak', 'yang', 'ngomong', 'ngawur']","['jangan', 'mendekati', 'zina', 'aturan', 'tidak', 'pasal', 'uu', 'dll', 'demokrasi', 'tdak', 'layak', 'isi', 'kepentingan', 'petinggi', 'kemaslahatan', 'masyarakatnya', 'jadikan', 'tameng', 'oknum', 'kekerasan', 'seksual', 'jangan', 'media', 'skrang', 'ngomong', 'ngawur']","['jangan', 'dekat', 'zina', 'atur', 'tidak', 'pasal', 'uu', 'dll', 'demokrasi', 'tdak', 'layak', 'isi', 'penting', 'petinggi', 'maslahat', 'masyarakat', 'jadi', 'tameng', 'oknum', 'keras', 'seksual', 'jangan', 'media', 'skrang', 'ngomong', 'ngawur']",jangan dekat zina atur tidak pasal uu dll demokrasi tdak layak isi penting petinggi maslahat masyarakat jadi tameng oknum keras seksual jangan media skrang ngomong ngawur,0.0
2,2,the law is an art semakin rinci semakin mudah dibelokkan ,positif,"['the', 'law', 'is', 'an', 'art', 'semakin', 'rinci', 'semakin', 'mudah', 'dibelokkan']","['the', 'law', 'is', 'art', 'rinci', 'mudah', 'dibelokkan']","['the', 'law', 'is', 'art', 'rinci', 'mudah', 'belok']",the law is art rinci mudah belok,1.0
3,3,tetapkan dulu apa yang dimaksud dengan kekerasan seksualitas ,netral,"['tetapkan', 'dulu', 'apa', 'yang', 'dimaksud', 'dengan', 'kekerasan', 'seksualitas']","['tetapkan', 'kekerasan', 'seksualitas']","['tetap', 'keras', 'seksualitas']",tetap keras seksualitas,0.0
4,4,lbih cock diterapkan dikemendikbud dan dpr ,netral,"['lbih', 'cock', 'diterapkan', 'dikemendikbud', 'dan', 'dpr']","['lbih', 'cock', 'diterapkan', 'dikemendikbud', 'dpr']","['lbih', 'cock', 'terap', 'dikemendikbud', 'dpr']",lbih cock terap dikemendikbud dpr,2.0
5,5,sekalian aja pakaian anak sekolah dan mahasiswa rok nya harus di atas lutut atau ganti aja menteri nya mungkin yg ingin membubarkan dia ikut juga,negatif,"['sekalian', 'aja', 'pakaian', 'anak', 'sekolah', 'dan', 'mahasiswa', 'rok', 'nya', 'harus', 'di', 'atas', 'lutut', 'atau', 'ganti', 'aja', 'menteri', 'nya', 'mungkin', 'yg', 'ingin', 'membubarkan', 'dia', 'ikut', 'juga']","['pakaian', 'anak', 'sekolah', 'mahasiswa', 'rok', 'lutut', 'ganti', 'menteri', 'membubarkan']","['pakai', 'anak', 'sekolah', 'mahasiswa', 'rok', 'lutut', 'ganti', 'menteri', 'bubar']",pakai anak sekolah mahasiswa rok lutut ganti menteri bubar,0.0
6,6,inilah makanya para korban ragu utk melapor usulan uu perlindungan hukum utk para korban pun jd polemik pdhal tinggal direvisi maaf uu yg katanya waktu itu akan diusulkn oleh suatu partai itu gmn kbrnya ,positif,"['inilah', 'makanya', 'para', 'korban', 'ragu', 'utk', 'melapor', 'usulan', 'uu', 'perlindungan', 'hukum', 'utk', 'para', 'korban', 'pun', 'jd', 'polemik', 'pdhal', 'tinggal', 'direvisi', 'maaf', 'uu', 'yg', 'katanya', 'waktu', 'itu', 'akan', 'diusulkn', 'oleh', 'suatu', 'partai', 'itu', 'gmn', 'kbrnya']","['korban', 'ragu', 'melapor', 'usulan', 'uu', 'perlindungan', 'hukum', 'korban', 'jd', 'polemik', 'pdhal', 'tinggal', 'direvisi', 'maaf', 'uu', 'diusulkn', 'partai', 'gmn', 'kbrnya']","['korban', 'ragu', 'lapor', 'usul', 'uu', 'lindung', 'hukum', 'korban', 'jd', 'polemik', 'pdhal', 'tinggal', 'revisi', 'maaf', 'uu', 'diusulkn', 'partai', 'gmn', 'kbrnya']",korban ragu lapor usul uu lindung hukum korban jd polemik pdhal tinggal revisi maaf uu diusulkn partai gmn kbrnya,2.0
7,7,presenter suka motong percakapan narasumber jd kurang ngeh gitu,netral,"['presenter', 'suka', 'motong', 'percakapan', 'narasumber', 'jd', 'kurang', 'ngeh', 'gitu']","['presenter', 'suka', 'motong', 'percakapan', 'narasumber', 'jd', 'ngeh', 'gitu']","['presenter', 'suka', 'motong', 'cakap', 'narasumber', 'jd', 'ngeh', 'gitu']",presenter suka motong cakap narasumber jd ngeh gitu,1.0
8,8,kami sebagai ormas islam mendukung permedikbudristek no  tentang kekerasan seksual tapi kami menolak pasal  ayat  yg ada kata tanpa persetujuan korban dan seharusnya permendikbud nadiem menghilangkan yg  kata tanpa persetujuan korban,positif,"['kami', 'sebagai', 'ormas', 'islam', 'mendukung', 'permedikbudristek', 'no', 'tentang', 'kekerasan', 'seksual', 'tapi', 'kami', 'menolak', 'pasal', 'ayat', 'yg', 'ada', 'kata', 'tanpa', 'persetujuan', 'korban', 'dan', 'seharusnya', 'permendikbud', 'nadiem', 'menghilangkan', 'yg', 'kata', 'tanpa', 'persetujuan', 'korban']","['ormas', 'islam', 'mendukung', 'permedikbudristek', 'no', 'kekerasan', 'seksual', 'menolak', 'pasal', 'ayat', 'persetujuan', 'korban', 'permendikbud', 'nadiem', 'menghilangkan', 'persetujuan', 'korban']","['ormas', 'islam', 'dukung', 'permedikbudristek', 'no', 'keras', 'seksual', 'tolak', 'pasal', 'ayat', 'tuju', 'korban', 'permendikbud', 'nadiem', 'hilang', 'tuju', 'korban']",ormas islam dukung permedikbudristek no keras seksual tolak pasal ayat tuju korban permendikbud nadiem hilang tuju korban,0.0
9,9,negara kacau pejabatnya nyeleneh coba urus yg subtantif,negatif,"['negara', 'kacau', 'pejabatnya', 'nyeleneh', 'coba', 'urus', 'yg', 'subtantif']","['negara', 'kacau', 'pejabatnya', 'nyeleneh', 'coba', 'urus', 'subtantif']","['negara', 'kacau', 'jabat', 'nyeleneh', 'coba', 'urus', 'subtantif']",negara kacau jabat nyeleneh coba urus subtantif,0.0
10,10,menteri nadiem segera dipecat,negatif,"['menteri', 'nadiem', 'segera', 'dipecat']","['menteri', 'nadiem', 'dipecat']","['menteri', 'nadiem', 'pecat']",menteri nadiem pecat,0.0
11,11,ranah mendikbud ya kekerasan seksual kalau yg lain ya ranah kementerian perempuan dan anak,positif,"['ranah', 'mendikbud', 'ya', 'kekerasan', 'seksual', 'kalau', 'yg', 'lain', 'ya', 'ranah', 'kementerian', 'perempuan', 'dan', 'anak']","['ranah', 'mendikbud', 'kekerasan', 'seksual', 'ranah', 'kementerian', 'perempuan', 'anak']","['ranah', 'mendikbud', 'keras', 'seksual', 'ranah', 'menteri', 'perempuan', 'anak']",ranah mendikbud keras seksual ranah menteri perempuan anak,0.0
12,12,permendikbud sudah benar jangan di revisi lanjut laksanakan,positif,"['permendikbud', 'sudah', 'benar', 'jangan', 'di', 'revisi', 'lanjut', 'laksanakan']","['permendikbud', 'jangan', 'revisi', 'laksanakan']","['permendikbud', 'jangan', 'revisi', 'laksana']",permendikbud jangan revisi laksana,1.0
13,13,berbicara ideologi boleh saja sbg muslim tp fakta ttp hrus diterima kalau bicara ini seolah memojokkan islam islam yg mana apakah hanya islam yg punya kotak amal dan menganjurkan bersedekah kbetulan saja mreka yg sesat adl saudara qt sesama muslim jika mjd isue besar krn ksalahan mreka ya bkn ksalahan pnegak hukum itu adl masalah brsama yg hrus dhadapi brsama bgmn caranya qt mnertibkan muslim dg pemahamanya agar tdk sesat mulailah dr menyedikitkan mmbahas surga sbg imbalan dan neraka sbg hukuman krn yg lbh harus dibahas adl cara mngenali tuhan dan konsekuensinya serta mnganut agama brarti mngabdi pd tuhan bkn mmpertahankan imej atau mngejar surga ,positif,"['berbicara', 'ideologi', 'boleh', 'saja', 'sbg', 'muslim', 'tp', 'fakta', 'ttp', 'hrus', 'diterima', 'kalau', 'bicara', 'ini', 'seolah', 'memojokkan', 'islam', 'islam', 'yg', 'mana', 'apakah', 'hanya', 'islam', 'yg', 'punya', 'kotak', 'amal', 'dan', 'menganjurkan', 'bersedekah', 'kbetulan', 'saja', 'mreka', 'yg', 'sesat', 'adl', 'saudara', 'qt', 'sesama', 'muslim', 'jika', 'mjd', 'isue', 'besar', 'krn', 'ksalahan', 'mreka', 'ya', 'bkn', 'ksalahan', 'pnegak', 'hukum', 'itu', 'adl', 'masalah', 'brsama', 'yg', 'hrus', 'dhadapi', 'brsama', 'bgmn', 'caranya', 'qt', 'mnertibkan', 'muslim', 'dg', 'pemahamanya', 'agar', 'tdk', 'sesat', 'mulailah', 'dr', 'menyedikitkan', 'mmbahas', 'surga', 'sbg', 'imbalan', 'dan', 'neraka', 'sbg', 'hukuman', 'krn', 'yg', 'lbh', 'harus', 'dibahas', 'adl', 'cara', 'mngenali', 'tuhan', 'dan', 'konsekuensinya', 'serta', 'mnganut', 'agama', 'brarti', 'mngabdi', 'pd', 'tuhan', 'bkn', 'mmpertahankan', 'imej', 'atau', 'mngejar', 'surga']","['berbicara', 'ideologi', 'sbg', 'muslim', 'tp', 'fakta', 'ttp', 'hrus', 'diterima', 'bicara', 'memojokkan', 'islam', 'islam', 'islam', 'kotak', 'amal', 'menganjurkan', 'bersedekah', 'kbetulan', 'mreka', 'sesat', 'adl', 'saudara', 'qt', 'muslim', 'mjd', 'isue', 'ksalahan', 'mreka', 'bkn', 'ksalahan', 'pnegak', 'hukum', 'adl', 'brsama', 'hrus', 'dhadapi', 'brsama', 'bgmn', 'qt', 'mnertibkan', 'muslim', 'pemahamanya', 'tdk', 'sesat', 'dr', 'menyedikitkan', 'mmbahas', 'surga', 'sbg', 'imbalan', 'neraka', 'sbg', 'hukuman', 'lbh', 'dibahas', 'adl', 'mngenali', 'tuhan', 'konsekuensinya', 'mnganut', 'agama', 'brarti', 'mngabdi', 'pd', 'tuhan', 'bkn', 'mmpertahankan', 'imej', 'mngejar', 'surga']","['bicara', 'ideologi', 'sbg', 'muslim', 'tp', 'fakta', 'ttp', 'hrus', 'terima', 'bicara', 'pojok', 'islam', 'islam', 'islam', 'kotak', 'amal', 'anjur', 'sedekah', 'kbetulan', 'mreka', 'sesat', 'adl', 'saudara', 'qt', 'muslim', 'mjd', 'isue', 'ksalahan', 'mreka', 'bkn', 'ksalahan', 'pnegak', 'hukum', 'adl', 'brsama', 'hrus', 'dhadapi', 'brsama', 'bgmn', 'qt', 'mnertibkan', 'muslim', 'pemahamanya', 'tdk', 'sesat', 'dr', 'sedikit', 'mmbahas', 'surga', 'sbg', 'imbal', 'neraka', 'sbg', 'hukum', 'lbh', 'bahas', 'adl', 'mngenali', 'tuhan', 'konsekuensi', 'mnganut', 'agama', 'brarti', 'mngabdi', 'pd', 'tuhan', 'bkn', 'mmpertahankan', 'imej', 'mngejar', 'surga']",bicara ideologi sbg muslim tp fakta ttp hrus terima bicara pojok islam islam islam kotak amal anjur sedekah kbetulan mreka sesat adl saudara qt muslim mjd isue ksalahan mreka bkn ksalahan pnegak hukum adl brsama hrus dhadapi brsama bgmn qt mnertibkan muslim pemahamanya tdk sesat dr sedikit mmbahas surga sbg imbal neraka sbg hukum lbh bahas adl mngenali tuhan konsekuensi mnganut agama brarti mngabdi pd tuhan bkn mmpertahankan imej mngejar surga,0.0
