,Komentar,Label,TOKENIZATION,STOP_REMOVAL,STEMMER,Komentar_Final
0,keras seksual definisi tuju korban logika nolak lawan keras seksual definisi keras seksual,positif,"['kekerasan', 'seksual', 'kan', 'memang', 'definisinya', 'memang', 'persetujuan', 'korban', 'sih', 'logika', 'nolak', 'melawan', 'kekerasan', 'seksual', 'didefinisikan', 'kekerasan', 'seksual']","['kekerasan', 'seksual', 'definisinya', 'persetujuan', 'korban', 'logika', 'nolak', 'melawan', 'kekerasan', 'seksual', 'didefinisikan', 'kekerasan', 'seksual']","['keras', 'seksual', 'definisi', 'tuju', 'korban', 'logika', 'nolak', 'lawan', 'keras', 'seksual', 'definisi', 'keras', 'seksual']",keras seksual definisi tuju korban logika nolak lawan keras seksual definisi keras seksual
1,dekat zinah atur pasal dl sat demokrasi tdak layak isi penting tingi maslahat masyarakat jadi tameng oknum keras seksual mengunakan media skrang bicara bicara sembarang,positif,"['mendekati', 'zinah', 'aturan', 'pasal', 'dl', 'sat', 'demokrasi', 'tdak', 'layak', 'gunakan', 'isi', 'nya', 'kepentingan', 'petingi', 'kemaslahatan', 'masyarakatnya', 'jadikan', 'tameng', 'oknum', 'melakukan', 'kekerasan', 'seksual', 'mengunakan', 'media', 'skrang', 'bicara', 'berbicara', 'sembarangan']","['mendekati', 'zinah', 'aturan', 'pasal', 'dl', 'sat', 'demokrasi', 'tdak', 'layak', 'isi', 'kepentingan', 'petingi', 'kemaslahatan', 'masyarakatnya', 'jadikan', 'tameng', 'oknum', 'kekerasan', 'seksual', 'mengunakan', 'media', 'skrang', 'bicara', 'berbicara', 'sembarangan']","['dekat', 'zinah', 'atur', 'pasal', 'dl', 'sat', 'demokrasi', 'tdak', 'layak', 'isi', 'penting', 'tingi', 'maslahat', 'masyarakat', 'jadi', 'tameng', 'oknum', 'keras', 'seksual', 'mengunakan', 'media', 'skrang', 'bicara', 'bicara', 'sembarang']",dekat zinah atur pasal dl sat demokrasi tdak layak isi penting tingi maslahat masyarakat jadi tameng oknum keras seksual mengunakan media skrang bicara bicara sembarang
2,law is art rinci gampang belok,positif,"['law', 'is', 'an', 'art', 'rinci', 'gampang', 'dibelokan']","['law', 'is', 'art', 'rinci', 'gampang', 'dibelokan']","['law', 'is', 'art', 'rinci', 'gampang', 'belok']",law is art rinci gampang belok
3,tetap keras seksualitas,negatif,"['tetapkan', 'kekerasan', 'seksualitas']","['tetapkan', 'kekerasan', 'seksualitas']","['tetap', 'keras', 'seksualitas']",tetap keras seksualitas
4,cocok terap dikemendikbud dpr,positif,"['cocok', 'diterapkan', 'dikemendikbud', 'dpr']","['cocok', 'diterapkan', 'dikemendikbud', 'dpr']","['cocok', 'terap', 'dikemendikbud', 'dpr']",cocok terap dikemendikbud dpr
5,pakai anak sekolah mahasiswa rok lutut ganti tri bubar,positif,"['pakaian', 'anak', 'sekolah', 'mahasiswa', 'rok', 'nya', 'lutut', 'ganti', 'mentri', 'nya', 'mungkin', 'membubarkan']","['pakaian', 'anak', 'sekolah', 'mahasiswa', 'rok', 'lutut', 'ganti', 'mentri', 'membubarkan']","['pakai', 'anak', 'sekolah', 'mahasiswa', 'rok', 'lutut', 'ganti', 'tri', 'bubar']",pakai anak sekolah mahasiswa rok lutut ganti tri bubar
6,korban ragu lapor usul lindung hukum korban polemik pdhal tingal revisi maf diusulkn partai gmn kbrnya,positif,"['korban', 'ragu', 'melapor', 'usulan', 'perlindungan', 'hukum', 'korban', 'polemik', 'pdhal', 'tingal', 'direvisi', 'maf', 'diusulkn', 'partai', 'gmn', 'kbrnya']","['korban', 'ragu', 'melapor', 'usulan', 'perlindungan', 'hukum', 'korban', 'polemik', 'pdhal', 'tingal', 'direvisi', 'maf', 'diusulkn', 'partai', 'gmn', 'kbrnya']","['korban', 'ragu', 'lapor', 'usul', 'lindung', 'hukum', 'korban', 'polemik', 'pdhal', 'tingal', 'revisi', 'maf', 'diusulkn', 'partai', 'gmn', 'kbrnya']",korban ragu lapor usul lindung hukum korban polemik pdhal tingal revisi maf diusulkn partai gmn kbrnya
7,presenter suka motong cakap nara sadar,positif,"['presenter', 'suka', 'motong', 'percakapan', 'nara', 'sadar']","['presenter', 'suka', 'motong', 'percakapan', 'nara', 'sadar']","['presenter', 'suka', 'motong', 'cakap', 'nara', 'sadar']",presenter suka motong cakap nara sadar
8,ormas islam dukung permedikbudristek keras seksual tolak pasal ayat tuju korban permendikbud nadiem hilang tuju korban,negatif,"['ormas', 'islam', 'mendukung', 'permedikbudristek', 'kekerasan', 'seksual', 'menolak', 'pasal', 'ayat', 'persetujuan', 'korban', 'permendikbud', 'nadiem', 'menghilangkan', 'persetujuan', 'korban']","['ormas', 'islam', 'mendukung', 'permedikbudristek', 'kekerasan', 'seksual', 'menolak', 'pasal', 'ayat', 'persetujuan', 'korban', 'permendikbud', 'nadiem', 'menghilangkan', 'persetujuan', 'korban']","['ormas', 'islam', 'dukung', 'permedikbudristek', 'keras', 'seksual', 'tolak', 'pasal', 'ayat', 'tuju', 'korban', 'permendikbud', 'nadiem', 'hilang', 'tuju', 'korban']",ormas islam dukung permedikbudristek keras seksual tolak pasal ayat tuju korban permendikbud nadiem hilang tuju korban
9,negara kacau jabat nyeleneh coba urus subtantif,negatif,"['negara', 'kacau', 'pejabatnya', 'nyeleneh', 'coba', 'urus', 'subtantif']","['negara', 'kacau', 'pejabatnya', 'nyeleneh', 'coba', 'urus', 'subtantif']","['negara', 'kacau', 'jabat', 'nyeleneh', 'coba', 'urus', 'subtantif']",negara kacau jabat nyeleneh coba urus subtantif
