,term,TF-IDF
1172,tuju,23.757856484874047
67,atur,18.316194985856953
540,korban,16.769278129484224
503,keras,15.890519878659468
1005,seksual,14.932381412086901
1076,suka,12.989419843694597
871,permendikbud,12.758721395080574
1238,zinah,12.61906067090626
568,laku,12.356357180858407
429,iya,11.393849449996784
145,bnr,10.57057516867348
830,pasal,10.376236428726305
1142,tindak,10.271213941810155
318,gak,9.522996026776317
893,pks,9.254180234519263
386,hukum,8.893794723211098
585,legal,8.82925946641034
1158,tri,8.488942349728552
554,kuhp,7.927113985971733
127,bicara,7.4446887603781855
870,permen,7.104008503346367
566,laki,7.030447535588775
42,anak,7.00083559530296
471,kampus,6.977753728707993
313,ga,6.777420776250761
873,permendikbudristek,6.761703290490894
980,salah,6.5517002415855625
212,dalem,6.5357552504222785
11,agama,6.522039539269108
1034,sex,6.328981742664218
956,revisi,6.190759800914184
1083,susila,6.16959044283777
1119,teman,6.153853553041247
575,larang,6.039093889608419
101,bebas,5.926735515593654
160,buat,5.655726973644565
406,indonesia,5.553988481390759
620,mahasiswi,5.50213510281107
22,akhsan,5.47089297376356
46,andi,5.47089297376356
498,kena,5.382899430550274
754,negara,5.013472683501602
364,hapus,4.936281083474952
615,maf,4.912445386571825
41,amin,4.6709246587890805
571,lanjut,4.664034460236096
1039,sila,4.604634633309233
1087,syah,4.591743073783261
282,dukung,4.5568995130078545
243,didik,4.532425351446704
312,frase,4.483310989686389
719,muhamad,4.43566600219411
619,mahasiswa,4.360300903276205
321,ganti,4.344915655374098
1081,sus,4.320271771635311
45,andarwati,4.320271771635311
862,perintah,4.171276791873684
224,deh,4.0972120902385525
1021,senjata,4.094324131397462
706,moril,4.078284483221284
1141,timbul,4.00451118414322
1127,terap,3.9835080820396196
606,logika,3.89047147751832
1198,undang,3.883278089966921
1209,usul,3.868431906230766
580,lawan,3.7764800051744682
1179,tungu,3.7563101256595015
78,baca,3.634142844354277
478,kaum,3.5612281187133203
393,ikat,3.5508678858432523
420,islam,3.5423886921436116
183,cegah,3.5369252413310224
584,leceh,3.4792163327036647
1104,tanda,3.4496401650565804
164,buka,3.441728928347584
1041,simak,3.4363163106663697
814,pacar,3.346366293909594
151,boleh,3.338177004021052
621,main,3.33167418107845
900,polemik,3.277887551302884
302,faham,3.272624223267145
1090,syariat,3.241258077994972
829,partai,3.177767732888303
939,rakyat,3.162216470543525
813,otak,3.156900359275585
988,saudara,3.1537774250292867
518,klu,3.12839136405462
194,cium,3.1025638992455615
882,pidana,3.095218146841316
25,alah,3.061034544456328
567,laksana,3.039702215504082
1105,tangan,3.0358000519468895
1,aborsi,2.9565581651909665
1152,tolak,2.9418926148160245
858,perempuan,2.93976087317856
565,lai,2.917637679976953
43,ancam,2.9130601776736658
159,bu,2.9027230096114964
95,basuki,2.90235812610532
961,ridwan,2.90235812610532
901,poligami,2.894679931025989
824,panca,2.8731223907980934
450,jokowi,2.8656798984838816
671,menrisex,2.852086831769104
365,haram,2.838921234099443
425,istri,2.8213794891855914
103,beda,2.8133673719797505
454,julidz,2.8109951447959722
678,mesum,2.779074145513935
436,jahat,2.754512431407976
1007,sekulib,2.752702476363617
444,jepang,2.7476263962707064
1097,tahu,2.7119999705415165
423,isteri,2.704343506884922
1112,tat,2.6981760823923286
943,ranah,2.6924511848070822
600,lindung,2.668565305584231
842,pelangaran,2.6569556786518373
1170,tubuh,2.6356690581945887
297,ente,2.6273285579388252
1203,urus,2.624980586236289
1183,tutup,2.6220347941473428
269,do,2.5993751248738586
419,isi,2.5962047015748175
361,hamil,2.584003606537563
422,islamis,2.5793016507327255
735,nadiem,2.561008734037422
388,huruf,2.5603407132312825
199,coba,2.5570458818815562
182,cecep,2.543711094588386
467,kalimat,2.5388200799277736
439,jaman,2.531695284144921
1035,sexual,2.4905547345727124
81,bagus,2.4748216862812424
801,ok,2.4514017942269968
481,kaya,2.3994648651205743
968,rkuhp,2.3951745101164907
1161,trmksh,2.381938230353234
73,ayat,2.3668871742556172
1123,tentang,2.366658158133968
802,oke,2.3657175513750723
557,kun,2.333106071822726
966,riza,2.333106071822726
703,moga,2.3280854891373304
394,ikut,2.324505847981373
138,bla,2.32379000772445
1002,sek,2.3220621520173106
722,mui,2.3144105599305136
206,cpt,2.298777499128286
779,nikah,2.291755231774352
879,perzinahan,2.2847133053946784
317,gaduh,2.2812056364578006
1147,tingi,2.2687282799837627
403,inalilahi,2.267786838055363
217,dasar,2.257478242867875
1236,zan,2.233984498531787
817,paham,2.2324325684078383
480,kawin,2.227469869169776
847,pemerkosan,2.203920203149567
497,keluarga,2.2031832355405796
995,sebut,2.1995061210426505
285,dunia,2.1949023135167516
304,farhan,2.1929546033040674
370,hasil,2.190126169562133
38,ambigu,2.160265619851289
410,inget,2.159744699695554
944,rancang,2.151715755850349
56,api,2.1218310414806885
667,mengmangtap,2.1213203435596424
500,kentu,2.1213203435596424
1096,tafsir,2.1144893780839173
1171,tuhan,2.1123367156725883
438,jalan,2.1008469076723273
1195,umu,2.09787570053647
753,nayla,2.09787570053647
446,jk,2.088666950898394
764,ngak,2.062182504311168
541,korbanya,2.02715065818918
865,perkosa,2.022251323031944
267,dmitri,2.0203171039026118
352,guru,2.002266500230405
942,rame,2.000338046483059
946,rasuk,2.0
272,dosen,1.9931789989008633
705,moral,1.98037420599279
1043,single,1.9688326144192163
877,pernyatan,1.9632001279740199
82,bahas,1.9598127609697293
640,mas,1.9428556453852561
7,adu,1.9427368302562824
514,kiamat,1.942300055959354
688,mk,1.938158606931056
264,dlm,1.9381170010306832
1071,studi,1.9326262702783827
740,nama,1.9271029196294174
62,asalamualaikum,1.9177741741567464
48,anehny,1.9158506299138622
617,maha,1.9127889090861494
348,goreng,1.90453259796355
1016,sempat,1.9019816415834323
463,kait,1.8794758073431876
96,bawa,1.8779335264837025
663,mendikbud,1.8766169686611345
291,efek,1.873805252614138
415,inti,1.8689714875438095
751,naudzubilah,1.857246100129482
242,dibrantas,1.8355799861663447
460,kadron,1.8340938610779491
1192,ulama,1.8340938610779491
1164,trus,1.8119552106930041
1101,tambah,1.8104125017096915
222,definisi,1.7965544077525641
325,gas,1.7933829724529868
287,dzulfiqar,1.7922919115086549
636,manusia,1.7862725327287046
622,maju,1.7765284721400223
94,bas,1.7684823057440984
851,penting,1.767842242392818
849,penjara,1.7598269887911746
805,onar,1.7578081920456508
1031,setan,1.7568578167676934
337,gin,1.7320508075688776
806,ondom,1.7320508075688776
796,nyumpahin,1.7320508075688776
18,akai,1.7320508075688776
293,elalu,1.7320508075688776
776,ngucap,1.7320508075688776
156,brow,1.7252820813757845
0,abai,1.7242825727851347
381,host,1.7078274957741693
577,las,1.7078274957741693
276,dpr,1.705235687186409
599,lihat,1.7010850119825263
218,day,1.6982251102661383
977,rush,1.6982251102661383
979,sahkan,1.6977252438084025
969,robah,1.6926652240417963
75,azab,1.6887677435914557
494,kelas,1.685850699064635
793,nyata,1.67764905696858
363,hancur,1.6745055206141077
831,pasang,1.6737645463975765
803,oknum,1.67195481167521
299,esa,1.6698794726138684
935,raba,1.6667219158127262
773,ngeyel,1.656552401932219
1023,sentuh,1.6512274684463213
1011,selese,1.6483513809394266
165,bukti,1.6417519510834577
631,malu,1.639488105730674
965,risikoberikhtilath,1.6387450362109652
135,bingung,1.6387450362109652
1214,very,1.6346350747460736
492,kelam,1.6329043164541086
241,diangap,1.6304147727230591
32,alias,1.6274608431005966
170,butuh,1.6268076694345872
711,mreka,1.6263475223700934
223,degradasi,1.623481859826445
1228,wkwkw,1.6201735433568571
116,bentrok,1.619815724580908
955,repot,1.6141449789129256
353,gus,1.6141449789129256
286,dur,1.6141449789129256
529,konsensual,1.6131224504944162
627,maksud,1.612226752723315
30,alesanya,1.599560583532834
834,paud,1.5989796485681458
837,payung,1.5960991692701656
774,ngoceh,1.5878884831069515
377,hilang,1.5808611523591374
1227,wilayah,1.580226085490743
200,cocok,1.576182328166509
248,dikemendikbud,1.576182328166509
402,in,1.5706395869265557
550,kuad,1.5706395869265557
994,sebelumya,1.5677000899734386
1181,tuntut,1.563368227290405
44,anda,1.5627432218035495
926,protes,1.561738060494779
227,demokrasi,1.5505914365938722
190,charista,1.5487429215306014
404,indah,1.5487429215306014
315,gabriela,1.5487429215306014
916,presiden,1.545624288143345
112,belok,1.54029758467916
1072,suami,1.527075177296356
741,namax,1.5247196585677556
647,materi,1.5207628051286388
611,luas,1.5195539195442822
715,mu,1.513376060370927
610,luar,1.5094016797396281
371,hati,1.4997663639809677
8,aduh,1.492995601803372
562,lacur,1.4928456550597762
1099,tajam,1.4871634628717425
228,denda,1.486276457318542
677,mesti,1.4811126896383415
756,negeri,1.4807513187261296
461,kadrun,1.471991741944049
213,dalih,1.469888873255385
153,breakpoint,1.4690941346465691
1184,tv,1.4690941346465691
144,bngt,1.466522288618762
341,gk,1.4654261360865668
349,gosong,1.4568890303053303
440,jatuh,1.4568890303053303
818,pakai,1.4502426849431171
109,belah,1.4497554856892845
5,adil,1.4394216917015115
445,jerat,1.4299443358187431
787,norma,1.4279986451805728
595,lho,1.4226137819879836
659,memang,1.4226137819879836
1003,sekolah,1.42005425576665
784,nolak,1.4130324920531803
125,bgt,1.411768138068702
1149,titik,1.401717709379008
384,hpus,1.3993979739772178
126,bibir,1.3992668740270071
1182,turun,1.3912601599513974
521,komen,1.3836725383894013
395,ilegal,1.3815444623162636
999,segalasesuatu,1.3806917997031334
15,ahli,1.3806917997031334
489,kehancuranya,1.3806917997031334
1026,serah,1.3806917997031334
252,dimcok,1.3805160359907442
1165,truskan,1.3805160359907442
433,jadi,1.366778893531173
905,pondasi,1.3643645629265033
226,delik,1.3639871171732074
573,lapor,1.3606409785915312
920,prof,1.3579751944767582
737,naf,1.3579751944767582
258,ditandatangani,1.3542926419957875
664,mendikbudristek,1.3542926419957875
852,penyelesaianya,1.3499251515013813
368,harus,1.3499251515013813
1006,seksualitas,1.3479827656999317
1135,tetap,1.3479827656999317
84,baik,1.3453332628334298
1226,waswas,1.332651778099915
530,konsep,1.331818036668607
1174,tuk,1.3311156688026677
924,proses,1.330974400007858
421,islamabad,1.3272973514428745
110,belakang,1.3272973514428745
822,paksa,1.3261949626175809
707,motong,1.3138806577989985
745,nara,1.3138806577989985
915,presenter,1.3138806577989985
590,legowo,1.3127575184788152
983,sanak,1.3087314225078104
1040,silah,1.2997347578661913
532,konteks,1.2925300951126568
883,pikir,1.291256119682997
821,pakek,1.2845113095483287
726,muncul,1.276568688399502
51,angotanya,1.2738735006384598
357,hahaha,1.2738735006384598
324,garuk,1.2738735006384598
466,kalang,1.2674897690482354
175,cakap,1.2656336976530942
978,sadar,1.2656336976530942
820,pakean,1.2622663732611732
1033,setujuj,1.2622663732611732
827,pantai,1.2622663732611732
451,jos,1.2622663732611732
263,dl,1.2595020904660306
960,ribut,1.2562108631243525
374,hehehe,1.250397574312785
854,penzinahan,1.246681123529481
327,gaul,1.2337049524073136
964,rinci,1.2321698617648378
320,gampang,1.2321698617648378
579,law,1.2321698617648378
61,art,1.2321698617648378
418,is,1.2321698617648378
1107,tangkap,1.2297168055300496
638,marak,1.2297168055300496
962,rifki,1.2287709487046155
306,fauzi,1.2287709487046155
778,ngusulin,1.2287709487046155
547,kritisi,1.2287709487046155
336,gilir,1.2287709487046155
1211,utama,1.2243310794865943
278,drone,1.2079312244202254
1162,trnyta,1.2079312244202254
1079,suruh,1.195962362558753
668,mengosokan,1.195712924176289
894,plaku,1.193511873848574
799,oengagas,1.193511873848574
1086,swt,1.1916360320211519
372,hdp,1.1916360320211519
254,direfisi,1.1817797640003882
1225,wasalamu,1.1782142801436146
26,alaikum,1.1782142801436146
161,bubar,1.1721409890712522
613,lutut,1.1721409890712522
972,rok,1.1721409890712522
113,benar,1.163574794873739
34,aluxes,1.161433100027385
1194,umat,1.160957593535246
846,pemendikbud,1.1583185821322015
453,juli,1.158088364303461
1116,tekan,1.1552572545481432
186,cerdas,1.1507236953137499
804,olah,1.150353169024834
2,ada,1.149081407777339
592,lembut,1.135699241432594
841,pegang,1.1345101359550536
1217,wa,1.1338934190276815
971,roji,1.1338934190276815
1197,un,1.1338934190276815
216,darurat,1.1328153730572565
833,patuh,1.1290178219624818
1180,tunjuk,1.1251285871334407
1113,tau,1.1238052799443095
475,kasih,1.12182034985682
748,nasional,1.114667030834261
614,ma,1.1118166123663686
704,mora,1.1110835021899625
864,perkara,1.1110835021899625
405,individu,1.1110835021899625
919,private,1.1110835021899625
588,legalitas,1.110011781399503
597,libat,1.106719875494499
426,isu,1.1060591778247266
33,alih,1.1060591778247266
1118,teliti,1.1055693061111718
36,aman,1.1011660163491972
27,alami,1.090240415521235
360,halal,1.0897479980774012
761,nga,1.0894386574774853
673,menteri,1.0872413318746879
845,pemaksan,1.0855769322059328
366,harap,1.084229510993328
295,engkau,1.084229510993328
950,rekomendasi,1.0808997758353478
270,dokter,1.0808997758353478
1012,selingkuh,1.0779744500648285
1191,uji,1.0755047047857764
687,mjd,1.075067173757239
1173,tujuanya,1.0686756918567648
628,makul,1.0680034841802963
66,atas,1.0668152679595015
189,chanel,1.063479646963532
601,lingkung,1.0607409733171616
476,katagori,1.0538724704090738
407,indra,1.0529116709195778
855,peraturanya,1.0517525292923193
129,bijak,1.0487691801989114
104,bedan,1.0459659940405073
1009,selangkang,1.044535698946063
1106,tangap,1.044535698946063
840,pecat,1.0421369402659142
1073,suara,1.0360400349296102
522,komentar,1.0304553121650422
790,nungu,1.0294254307681898
203,consent,1.0256337559289053
725,mulut,1.0256337559289053
992,sebab,1.0224493107719521
236,dewi,1.0170338504454595
1067,sriyati,1.0170338504454595
974,rugi,1.0151358544766793
1131,terima,1.00397362418667
789,nu,1.0010021617836906
1054,slama,1.0008225337484002
1218,wafat,1.000409765670296
734,nabi,1.000409765670296
211,dajal,1.0
334,germo,1.0
63,asatgfiruloh,1.0
987,sat,0.9933038291501999
1047,situ,0.9727309858814772
86,bales,0.9707849530076454
630,males,0.9707849530076454
648,mati,0.9665375440330302
16,ajar,0.9646219285723773
558,kurikulum,0.9646219285723773
472,kanya,0.9646219285723773
948,rayu,0.9646219285723773
244,diem,0.9581569454682018
669,mengunakan,0.93859426863938
859,perempuanya,0.9372380359840742
927,publik,0.9358519872474076
506,kesan,0.9358519872474076
913,prasangka,0.9358519872474076
991,sdg,0.9358519872474076
283,duluan,0.9353585403474838
925,prostitusi,0.9266977291344083
284,dungu,0.9242813563054763
1168,tua,0.9235613015703887
300,esek,0.9229483951444254
19,akal,0.9208098586539786
240,dian,0.915895595018925
1237,zina,0.9067340834387905
660,membolehkanya,0.9054550492848668
1004,seks,0.9054550492848668
990,sbg,0.9047837491024758
486,kebiri,0.901029155476391
495,kelompok,0.895136700808983
339,giring,0.8906581754253037
1082,susah,0.8883889069589708
1133,tertawa,0.8881090414010804
770,ngelarang,0.8825481093149492
250,dilangar,0.8822334919787204
142,blue,0.8809913567163774
886,pimpin,0.8809913567163774
479,kawan,0.8809913567163774
279,drpd,0.8809913567163774
210,dahulu,0.8809913567163774
727,mundur,0.8770574289411686
1231,xmbelgedesh,0.8705036257011205
762,ngadu,0.8648860801627702
83,bahasa,0.8648627147552714
1102,tameng,0.8556672505192562
174,cabul,0.8494402724605696
583,lebar,0.8444114338898683
747,narasi,0.8444114338898683
654,mekanisme,0.843543314496033
543,kota,0.8398547999519155
765,ngas,0.8382584473590784
1052,skrng,0.8382584473590784
1045,sis,0.8382584473590784
815,pade,0.8382584473590784
172,bwahahaha,0.8382584473590784
716,muantab,0.8382584473590784
785,non,0.8374677899214849
119,berani,0.8343026960943537
1140,thohir,0.8342387914702601
355,hadeh,0.8342072331258543
202,comot,0.8330992450540078
117,bentuk,0.8285829876473947
350,grepe,0.8264266358196924
235,dewanga,0.8264057863378665
930,putera,0.8264057863378665
791,nyalahin,0.8221816660404707
596,liar,0.8221816660404707
783,nilai,0.822001273436489
294,enak,0.8216123348682052
391,ijin,0.8202642732844927
899,pola,0.8194180822943105
1093,syurga,0.8181389342141945
390,idiologi,0.8112759153584731
694,mna,0.8093455396419821
205,contrario,0.7999834081515
60,argumentum,0.7999834081515
195,ckckck,0.7965217232493216
1129,teriak,0.7965217232493216
1130,teriakin,0.7965217232493216
1074,substansi,0.7965217232493216
768,ngedongeng,0.7965217232493216
561,kyknya,0.7965217232493216
1205,usaha,0.7945914230373581
908,posisi,0.7940263825482115
221,debatin,0.7940263825482115
230,depa,0.7940263825482115
775,ngubah,0.7940263825482115
1188,udahlah,0.7940263825482115
1185,twiter,0.7940263825482115
1010,selesai,0.7883345503177408
88,bang,0.7880622947675271
17,aju,0.7866440026447974
1223,wanita,0.7843970317130894
624,makarim,0.783892950631091
880,pesantren,0.7795453966787026
1027,serang,0.7781703131489117
167,bungkus,0.77560296385106
718,mucho,0.7745966692414833
937,raja,0.7745966692414833
1229,wkwkwkwk,0.7745966692414833
1032,seteru,0.7745966692414833
781,nikmatin,0.7745966692414833
1137,texto,0.7745966692414833
490,kehinan,0.7741028896165747
496,keluar,0.7736967470071593
49,angaran,0.7736967470071593
281,dua,0.7719698235946246
730,muslim,0.7701888822065446
819,pake,0.7653953744407712
179,cari,0.7630838322013505
65,at,0.757419868376664
220,debat,0.7553003267231431
655,melangar,0.7544501463057642
338,ginian,0.7478323111036
50,angota,0.7475887095364966
1019,senang,0.7472709814950282
555,kuhpnya,0.7467540888468852
666,mengangap,0.7430566217831591
866,perkosan,0.7421260496369954
982,samasekali,0.7283369796556702
843,peluk,0.7166776034439277
319,gamblang,0.7166776034439277
1206,usap,0.7166776034439277
881,photo,0.7107519035881862
1084,susu,0.6994861553548647
976,rusak,0.6994861553548647
598,liberal,0.6994861553548647
782,nila,0.6994861553548647
111,belanga,0.6994861553548647
507,kesimpulanya,0.6990435649273804
234,dewan,0.6975656213912389
644,masyarakat,0.6967615133785912
225,dekat,0.6967615133785912
643,maslahat,0.6967615133785912
651,media,0.6967615133785912
1050,skrang,0.6967615133785912
581,layak,0.6967615133785912
1015,sembarang,0.6967615133785912
1115,tdak,0.6967615133785912
810,ormas,0.6957497377882524
869,permedikbudristek,0.6957497377882524
957,revolusi,0.6930078928820195
685,miss,0.6930078928820195
1216,vissi,0.6930078928820195
431,jabar,0.6930078928820195
672,mental,0.6930078928820195
1020,senior,0.6904951561406101
1208,ustadz,0.6904951561406101
868,permebdikbud,0.6904951561406101
114,benci,0.6904951561406101
645,mata,0.6904951561406101
169,buta,0.6904951561406101
736,nadim,0.6840681866513857
392,ikadi,0.6789875972383791
720,muhamadiyah,0.6789875972383791
1139,th,0.6789875972383791
861,pergi,0.6789875972383791
1220,wakil,0.6789875972383791
191,cholil,0.6789875972383791
192,cholis,0.6789875972383791
1095,tabel,0.6789346829618217
724,multitafsir,0.6780477500577304
265,dluar,0.6761639847197493
788,nti,0.6761639847197493
940,rakyt,0.6761639847197493
378,hindar,0.6746678265817081
411,ini,0.6736490831424695
1166,tsb,0.673374013574215
262,dksih,0.6625492840241717
344,goblokny,0.6625492840241717
383,hp,0.6625492840241717
750,natural,0.6625492840241717
343,gni,0.6625492840241717
1150,toge,0.6625492840241717
6,adl,0.6584763301043388
380,hormat,0.6566395475066088
887,pinjol,0.6521974151417456
1092,sypa,0.6501812354055472
1167,tsbt,0.6501812354055472
1042,simpul,0.6500501271784429
298,erti,0.6492336895829849
69,aturanya,0.6482832756754547
435,jah,0.6482832756754547
690,mknya,0.6460516481196684
970,rohani,0.6460516481196684
578,latar,0.6428755899418384
428,itu,0.638284344199751
477,kategori,0.6381929668009132
1001,sehat,0.6380155653777195
797,nyuri,0.6380155653777195
118,berahlaq,0.6380155653777195
74,ayo,0.6380155653777195
1145,tingalkan,0.6380155653777195
653,megunakan,0.6380155653777195
523,kond,0.6375407194698194
1232,yaelah,0.6375407194698194
1070,stock,0.6375407194698194
1175,tukang,0.6375407194698194
289,ecer,0.6375407194698194
207,cuan,0.6375407194698194
13,ahahaha,0.6375407194698194
92,banyakin,0.6375407194698194
1126,tera,0.6374538045901512
59,argumen,0.6366302430623545
684,miris,0.6360176614072421
76,azas,0.6339931999135381
369,hashirama,0.6339931999135381
346,gogle,0.6339931999135381
986,sanksi,0.6301134393160976
947,rata,0.6294290329135884
670,menrisek,0.6294290329135884
178,capek,0.6281054315621762
526,kons,0.6281054315621762
1121,tempat,0.6247380877888341
308,fisi,0.6247380877888341
1138,tg,0.6247380877888341
1151,tokoh,0.6219008933246752
1125,teori,0.621764259096147
512,khayal,0.621764259096147
328,gaung,0.621764259096147
87,banding,0.621764259096147
686,mitos,0.621764259096147
922,propinsi,0.6202456274969457
72,ayam,0.6166108480197675
739,nalar,0.6140237658817889
792,nyampe,0.6140237658817889
591,lelet,0.6140237658817889
808,oposisi,0.6140237658817889
836,payah,0.6140237658817889
1196,umur,0.608781429880231
23,akibat,0.605693312664189
204,contoh,0.6056551168137889
656,melulu,0.6050407966243488
14,ahklak,0.5993535610760067
485,kbrnya,0.5931265652451682
342,gmn,0.5931265652451682
261,diusulkn,0.5931265652451682
838,pdhal,0.5931265652451682
936,ragu,0.5931265652451682
1144,tingal,0.5931265652451682
933,pzinan,0.591361865432033
335,giat,0.591361865432033
154,brenti,0.591361865432033
897,poin,0.5908898820001941
535,kontro,0.5908898820001941
723,multi,0.5908898820001941
1213,versi,0.5908898820001941
1111,tapsir,0.5908898820001941
587,legalisasi,0.5886099689478804
1128,terbit,0.5886099689478804
9,advokasi,0.5886099689478804
201,colek,0.5866468496728683
637,marah,0.5866468496728683
985,sangsi,0.5866468496728683
85,baju,0.5866468496728683
316,gadis,0.5836553698207956
491,keji,0.5836553698207956
441,jauh,0.5836553698207956
237,dgr,0.5836553698207956
676,merinding,0.5836553698207956
150,boga,0.5836553698207956
115,bendigan,0.5836553698207956
932,putusin,0.5836553698207956
442,jawap,0.5836553698207956
931,putih,0.5836553698207956
288,eak,0.5836553698207956
124,bertagung,0.5836553698207956
193,cicip,0.5836553698207956
268,dn,0.5836553698207956
635,mangkrak,0.5726511698195969
1109,tangung,0.572640170858607
209,daerah,0.5695044521600218
130,bikin,0.5606056859035025
1077,sukak,0.5575397346213138
728,munkin,0.5575397346213138
68,aturany,0.5532370965318033
141,blon,0.5532370965318033
712,msing,0.5532370965318033
560,kyak,0.5532370965318033
1060,sndri,0.5532370965318033
148,bocah,0.5532370965318033
330,gede,0.5532370965318033
914,prbuatan,0.5532370965318033
1163,true,0.5448783582486911
1234,yes,0.5448783582486911
459,kader,0.5410209252564624
470,kampanye,0.5410209252564624
1204,urusin,0.5410209252564624
786,nonton,0.5410209252564624
257,diskusi,0.5410209252564624
952,rem,0.5410209252564624
1201,unya,0.5410209252564624
37,amat,0.5410209252564624
171,bwahaha,0.5410209252564624
108,bela,0.5410209252564624
1038,sidang,0.5410209252564624
464,kakehan,0.5410209252564624
1143,tindakanya,0.5410209252564624
709,mpret,0.5410209252564624
1022,sensasi,0.5410209252564624
906,porno,0.5410209252564624
290,edukasi,0.5393885800027606
1212,verbal,0.5371280737838379
21,akhirat,0.5341181022789381
10,adzab,0.5341181022789381
1169,tuai,0.5341181022789381
552,kuatir,0.5341181022789381
546,kritik,0.5335161093249702
857,percaya,0.5302822124701567
54,apa,0.5196865532632975
902,polisi,0.5196865532632975
973,rubah,0.5148107830388461
1048,situasi,0.5145990016775913
93,baris,0.5092010122213663
1199,unsur,0.5082398861892519
468,kalimatx,0.5082398861892519
245,difahami,0.5082398861892519
1000,seharusx,0.5082398861892519
482,kayakx,0.5082398861892519
604,literasi,0.5070832547437375
516,klaim,0.5057319439256353
1094,tabayun,0.5057319439256353
1037,sholat,0.5057319439256353
397,imam,0.5057319439256353
456,jumat,0.5057319439256353
683,mingu,0.5057319439256353
513,khotbah,0.5057319439256353
455,jum,0.5057319439256353
795,nyesel,0.5057319439256353
474,kasi,0.501132487495412
379,hinga,0.500204882835148
713,msk,0.500204882835148
232,depan,0.500204882835148
907,pornografi,0.4936542154972432
1190,uin,0.48932047571554393
1017,sempit,0.48932047571554393
816,pagi,0.48932047571554393
1224,warung,0.48932047571554393
162,budaya,0.48932047571554393
505,kerudung,0.48932047571554393
807,open,0.48932047571554393
629,malam,0.48932047571554393
146,bo,0.48932047571554393
47,ane,0.48932047571554393
28,alat,0.4893194359889095
184,celah,0.48908673834633964
623,makan,0.4870851360546756
214,dampak,0.48522191621046096
825,pandai,0.48491742077095434
625,make,0.4810165898132145
1089,syarat,0.4800357590949445
867,permasalahanya,0.4800357590949445
1024,sepenuh,0.4800357590949445
533,kontra,0.4800357590949445
531,kontak,0.4742318320456185
891,pisik,0.4742318320456185
826,pandang,0.4725833029961847
564,lahir,0.4725833029961847
665,meng,0.4713144135198003
517,klausal,0.46913964215547815
90,bantu,0.46913964215547815
1187,udah,0.46906826359808923
769,ngedukung,0.4686190179920371
430,izin,0.4686190179920371
296,entar,0.4686190179920371
780,nikahin,0.4684335849856766
1066,spk,0.4684335849856766
1063,solusiable,0.4684335849856766
1134,tertingal,0.4684335849856766
626,maklum,0.4684335849856766
147,bobrok,0.4684335849856766
359,halah,0.4684335849856766
12,agamais,0.4684335849856766
997,sedih,0.46555123686110633
3,adan,0.46555123686110633
1207,usia,0.4621406781527381
953,rendah,0.4621406781527381
951,rektor,0.4621406781527381
938,rajam,0.4621406781527381
888,pintu,0.4621406781527381
904,politis,0.4621406781527381
1122,tempel,0.4621406781527381
1177,tumpul,0.4621406781527381
53,anu,0.4621406781527381
105,begitu,0.4621406781527381
