,Komentar,Label
1,Seharusnya ruu tentang perlindungan korban kekerasan seksual lah yang harus di legalkan karena sudah terlalu banyak korban kekerasan menjadi tersangka,negatif
2,"bahkan sekelas GoTo aja masih kelolosan, apalagi kita yang hanya rempahan rengginang kong wan 😀😀",negatif
3,MENDIKBUD YG TDK FAHAM ADAB BANGSA TIMUR,negatif
4,Kirain digugat gara-gara data mining. 😂,negatif
5,Narasi suka x y sama yg bebas2,negatif
6,KAWAAAALLLL TEROOOOOSSSSSSSSS,negatif
7,Meta juga gk kena masa go to kena?,negatif
8,"Permasalahan kekerasan seksual udah lamaa bgt jd polemik Krn korban yg speak up di medsos jg banyak, yg diberi stigma jg ada aja, dan disalahkan jg ada aja (gak ngerti, knp nyerang korban), seiring berjalannya waktu kasusnya bertambah terus-menerus tp entah knp RUU PKS bhkn dgn Permendikbud ini pun masih aja ditentang. Sy gak ngerti betapa tidak inginnya mereka melindungi korban. Gak punya hati saya rasa.",negatif
9,Tim Narasi niat banget ngehapus 2 comment saya yak...,negatif
10,Goped bagus... 🤣🤣,positif
11,"Kontranya gajelas banget, galiat urgensi",negatif
12,hadehhhhhh ya semoga terbaik buat indonesia tercintaku…..huhuhuhuuuuu sehat2 mba cantiku juga….,positif
13,Partai mana sih yang getol banget menolak RUU Perlindungan Kekerasan Seksual? Gemes bngt gw.,negatif
14,"Dengan adanya permendikbud ini bisa melenyapkan predator di kampus ""Yes"" dan bisa melegalkan sex bebas mba ya..
karena peraturnnya hanya untuk yg di perkosa, tapi kalau suka sama suka ga masalah..
Hadeeeeh mba nya berkerudung tapi gini amat..

Lebih jelasnya sudah di bahas di ""Hersubeno arif""",negatif
15,Karena pemerkosa orang yang berkuasa,negatif
16,Selalu membawa nama korban tapi gak ada jawaban dr subtansi kritikan dr permendikbud tersebut.,negatif
17,"Dosen belagu tai, yang kebelaguannya ga nolong kecakapan mahasiswanya di lapangan kerja 🤪",negatif
18,Wajah dan senyum ny saat cantik kakak ini,positif
19,goto ganti jadi goped aja,negatif
20,yg menolak ruu pks itu mungkin predatornya!,negatif
21,"Saya muslim yg konservatif sangat setuju dengan peraturan ini dengan SYARAT dihapus frase ""tanpa persetujuan Korban""

Contoh pasal 5: membuka pakaian Korban tanpa persetujuan 
Korban; 

Mahasiswa, mahasiswi ""setuju""/iyahh/ndak apa2/silahkan= dibolehkan, legal. Bahaya ini!!! ""Dosen dan mahasiswi /mahasiswa dan mahasiswa bersetubuh= legal"".  Tidak ada korban, sama2 setuju, boleh berzinah!!!",positif
22,"Harusnya narasi yang di tampilkan tidak ambigu, ""tanpa persetujuan korban"" jika korban setuju apakah arti nya boleh2 saja?? Jika ini dilegalkan akan banyak s*x bebas di Indonesia, dampak yang sangat buruk dr hal ini pun jelas, infeksi menular s*x merajelala, HIV, Anak2 yang harusnya belajar, malah merintih untuk melahirkan, aborsi kemudian akan bertambah banyak, apakah kita ingin keluarga kita terjerat akan maksud ""suka sama suka dan bebas melakukan hal2 yang jelas2 merusak diri mereka sendiri, tentunya hal yang di jadikan pedoman menjadi manusia yang beradab dan beragama menjadi hal yang minoritas",negatif
23,Datang lagi nonton anisya azni🥰,positif
24,"Muaantaab.. skrng ""maen"" di kampus aamaan bro n sis, slama lw sama2 Nga'ngas,,ga perlu ke hotel gas di kampus.. 
Bwahahaahaha",negatif
25,Saya sudah baca dan dukung permen kekerasan seksual,positif
26,Klo udh ngebet tahan klo mampu ya nikah..klo g mampu ya tahan dulu nunggu halal,positif
27,"Kacau membaca  permendikbudnya,,diakhir setiap ayatnya muncul kata kata *tanpa persetujuan korban*
Namanya *korban* untuk apa dimunculkan lagi frasa *tanpa persetujuan korban*
Liat pola pola lama yg terjadi sebutan *mau sama mau*
Bisa dipelintir jd alat membebaskan pelaku kekerasan seksual",negatif
28,"4:30 Bingung sendiri ketika tak paham syariat 🤷🏻‍♂️
#risikoBERIKHTILATH",negatif
29,"Belajar dari UU ITE dulu saja, karena pasal karet mungkin  bisa menyebabkan korban jadi tersangka",negatif
30,MAKRIM TU MENTRI OTAK MESUM SETUJU PERZINAAN..NTAH DENGAN SIAPA DIA BELAJAR ITU.,negatif
31,"Predator tentu tak setuju ada payung hukum yang melindungi pelecehan dan kekerasan seksual, itu berarti menutup kesempatan tuk memangsa.",positif
32,Yg keyakinan Sono pasti setuju,positif
33,"Asyiiik zina asalkan suka sama suka di legalkan,,bkn suatu asusila,,,BO ayam kampus legal jg,,khan suka sama suka,,,toppp markotop si nadim mankrak rim 🤣🤣🤣🤣🤣🤣",negatif
34,Makin ancur negara ini kalo sex bebas di legalkan.,negatif
35,Ingat tiang negara itu wanita.wanita nya ancur ahklaq nya siap2 kehancuran negara ini,positif
36,DPR  dewan perwakilan rezim bukan perwakilan rakyat,negatif
37,"Pasal kalau korban menyetujui artinya dosen bisa memaksa dengan ancaman nilai. Apa yg tidak mungkin didunia ini, Kok terkesan bodoh dlm melihat kemungkinan yg terjadi, sedang fakta banyak kejadiannya.
Pada pasal itu bisa dijadikan pembelaan oleh dosen2 yg bejad mentalnya.",negatif
38,Apa lagi ni....!,negatif
39,Wkwkwkwk asalkan suka sama suka di bolehkan...yang hobi berzinaaa berteriak horeeee kegirangan.good joob pak nadiem makariem.,negatif
40,Bak Efi ni pikiranx gak nyampek.kayak gak layak bicarax dan penampilanx,negatif
41,Kalo KADRUN chat mesum boleh kagak ?????? Bhahaha.....🤣🤣😂😂😂,negatif
42,"Bangsa ini  mulai   kehancuran  ,      DRP  zholim  !!!!!!!",negatif
43,Seblm ada permen ada gulali 😂😂🤣🤣🤣,negatif
44,Hhhh...... boleh  Asal mau ngasih nilai tinggi  jangankan buka baju yg lain2 juga boleh...hahhhh duuh parah,negatif
45,"Berarti buat kalian yg pacaran, gak usah takut lagi berhubungan badan, kan kalian suka sama suka 😂",negatif
46,"Ini yg merumuskan peraturan, pura2 bodoh atau gimana ya. Sepatutnya jika ada masukan, di absorb, jangan reaktif/defense. Konteks munculnya persetujuan korban, bisa saja persetujuan muncul semata tdk hanya sukarela, tetapi bisa juga krn intimidasi. Alangkah lebih baik, utk memaksimalkan pencegahan, buatlah aturan yg tanpa celah. Ini aktivis & anggota dewan kok pemikirannya kurang cerdas ya. Ingin buru2 membuat peraturan, bukan berarti membiarkan celah. Revisi lebih baik, kalau mmg benar2 ingin mencegah.",negatif
47,Malah terlihat bodoh mba,negatif
48,"Intinya zina yg belom halal, baik orang tua maupun dibawah umur, harus dihukum mati.. Karna perzinaan adalah bentuk perusak alam manusia, dan bumi akan jadi rusak.",negatif
49,Mungkin pembuat UU ini hobi seks bebas 😀,negatif
50,Kampus buat nuntut ilmu .. kalau ada kekerasan seksual atau asusila   di kampus masuk delik umum gak usah di atur di pisah ...,negatif
51,Haikal lo ngak nyambung .sok pintar lagi,negatif
52,"YANG JELAS BELAJAR AGAMA... 
BIAR AKHLAK TERJAGA... 
MASALAH JINAH.. ITU HUKUMNYA HARAM... LEBIH BAIK NIKAH.. KALAU  SUDAH SUKA SAMA SUKA.. 
INI MENDIKBUD.. INGIN MERUSAK ANAK BANGSA... 
JIKA INGIN ANAK ANAK INGIN SELAMAT DUNIA DAN AKHERAT. KULIAHKAN ATAU DISEKOLAHKAN KE PERGURUAN ISLAMI..",positif
53,Lagi ribut urusan selangkangan ya...,negatif
54,"Jngan aneh aneh..gw punya anak masih kecil""..jngan smpe ngaur gara"" peraturan"" yg ga bener..melenceng dari agama.🙏🏼",negatif
55,Knpa pilihan presiden banyak yang berbuat kerusuhan,negatif
56,Haah enak nya di guwe 😂,negatif
57,Hebat babe haikal,positif
58,Makin ngaco aja aturan Di Indonesia.aturan yg akan merusak generasi penerus bangsa,negatif
59,si haikal ini kebanyakan nonton ecchi ama hentai wkwkwk. mana ada mahasiswi mempersilahkan dosen buka bajunya lepas. semua manusia di dunia ini sama. mencari keuntungan. otak lo yang musti direvisi bukan undang undangnya,negatif
60,Jgn sampe pemerintah macem2 sama anak gua. Kalo macem2 gua gebukin,negatif
61,"Ada ada aja
Para pejabat gak ada yg berprestasi selain bikin keruwetan..",negatif
62,Kpan lagi pemerintahan Jokowi ini selesai,negatif
63,"Maafkan mbak Veni babe Haikal, dia belum paham realita yg terjadi dan  dia hanya banyak belajar membaca bukan belajar dari fakta",negatif
64,"Wanita itu tanpa persetujuan jadi korban, setuju juga korban,",negatif
65,Badan sm otak nya krng seimbang jd pikiran nya ga realita.. babe haikal cerdas melindungi kaum wanita..,negatif
66,"Tidk bisa di pungkiri kalau kadrun ini otaknya selangkangan melulu..
Gila 72 bidadari biadab .",negatif
67,"""TANPA PERSETUJUAN"" WKKKKK CERDAS......... KLO ANAK PEREMPUAN LO  SETUJU BOLEH ANAK LO GW GENJOT???",negatif
68,Tu wanita yg gembrot kliatnya lom pernah pny pacar  jd ngebet pngen mesum,negatif
69,Coba lho pade kemarin nonton mata najwa.. Disitu jelas forumnya berbobot narasumber pun pas sesuai substansi yg dibahas......,negatif
70,Haikal Hasan dapat sebutan BABE yang jadi ciri khas Betawi??? Apa ada KAH si Haikal ini punya garis keturunan dari orang² Betawi???,negatif
71,"ya Allah tokang ojol di jadikan mintri akibatnx mau merusak masa depan anak bangsa innalillahi weinnalillahi rojion 
حسبنا الله ونعم الوكيل",negatif
72,Cukup zinai saja istrinya nadim atau anak nadim. Boleh gk,negatif
73,Mbak baju putih tidak melihat kasus mahasiswi yang menjajahkan dirinya.. apa itu bukan fakta.. udahlah Bu.. kenapa tidak mau lihat pencegahan berdasarkan agama,negatif
74,Peraturan gendeng,negatif
75,Koruptor lebih tdk ASU SILA kah ?,negatif
76,Haikal otaknya masum,negatif
77,"Aktivis perempuan=feminism?? Kalau ya, jangan didenger lah, kaum logical fallacy.",negatif
78,JANGAN HIRAUKAN ATURAN SEX BEBAS....kalau ini di jalnkan insaallh genderasi selamat....kalau dipatuhi aturan yang telah dilegalkan oleh mendikbut dan disyahkan oleh Menag....negara akan hancur....banyak yang akan bunting!!!!!!!pertanyaannya apakah istri atau anak anda bersedia di setubuhi!!!!,positif
79,Nadiem terlalu lama tinggal di luar negri jadi kurang memahamai bahasa indonesia yg baik dan benar,negatif
80,Suka sama sukakan asusila Mbak,negatif
81,"Semoga   Permendikbudristek  dimusyawarahkan secara baik dgn tokoh agama, tokoh masyarakat agar tiap kebijakan yg dibuat memperkecil masalah yg baru atas keresahan yg bisa timbul di masyarakat.",positif
82,nilai dan budaya sdh bergeser di peraturan itu. skrg asal suka sama suka bisa apa sj. bahkan dipayungi hukum.,negatif
83,"gasss terus babe, jangan sampai permen iblis ini do goalkan sama orang otak liberal dan sungsang.. 
kasih peljaran terus ini perempuan.. luruskan otaknya yg salah.",negatif
84,Haikal ini sebenarnya apa posisinya sehingga dia bisa di undang dlm forum ini?,negatif
85,Babe Haikal kan pernah bermimpi ketemu nabi Muhammad Saw...😁😁😁🙏,positif
