,term,TF-IDF
399,haikal,6.324108685103476
1139,suka,6.134512705620658
85,atur,4.999150372992625
331,gak,4.929925221665809
1225,tuju,4.905496337779507
276,dn,4.547234950872489
1093,sex,4.309974976133517
565,keras,4.11040980985141
948,perempuan,3.9569842543071605
121,bebas,3.6788327820885507
831,ndak,3.5072727529605907
186,bsa,3.455328970546147
903,otak,3.4271833720424825
61,aoa,3.365426231164322
526,kampus,3.1525581586332088
605,korban,2.9850639914324115
584,klw,2.9526060726774945
280,dosen,2.8746242099571733
368,gk,2.8612060581875283
451,indonesia,2.7831906527440466
45,anak,2.726526290899778
1071,seksual,2.718703133670487
27,aktif,2.7128203211910256
655,legal,2.704264718292249
902,org,2.565072650643855
833,negara,2.5266823322457497
436,hrs,2.488852695846463
439,hukum,2.4882551339722583
1023,revisi,2.423990710411114
94,babe,2.3064922731994972
208,byk,2.2892232355189734
493,jga,2.221260986833272
1238,udah,2.2191706555816375
1265,veni,2.1470446783837596
539,kayak,2.1443687333185784
145,bgt,2.110797293059101
953,permen,2.079652514008255
1216,tri,2.047214747467713
672,lindung,2.0456374387248077
363,gimana,2.025823542535863
69,aq,2.0164613182538504
818,nadim,2.0066316059410956
859,ngerti,1.9701590386584433
99,badan,1.9476735821017734
497,jngan,1.941833929278178
1173,tdk,1.937183518676613
100,bae,1.892344816741171
312,faham,1.8790551036061085
325,ga,1.8699021839239598
1299,zinah,1.8157977516020505
1250,untk,1.7643580487088477
43,ampun,1.759751136698021
1235,tv,1.73358683094553
1037,rusak,1.7010706329061998
890,nyambung,1.6943713416638595
411,hasan,1.6914958681560877
776,mlh,1.6142674508185713
698,mahasiswi,1.59458281280098
108,baju,1.585826956648605
189,buat,1.5711894322115025
111,bangsa,1.5598352985809372
955,permendikbud,1.5365123319338214
9,agama,1.5319965502972543
1147,susila,1.523873359944729
675,lo,1.4679766973612836
120,be,1.4590669556916338
192,buka,1.4549185877023716
738,mbak,1.4498740523556584
876,nilai,1.4461135038704904
925,pasal,1.4422535724464474
210,cabul,1.4361212834879153
764,mesum,1.4135957816243245
784,moga,1.4089306498684793
1098,sila,1.3972966966079843
305,enak,1.3912537367827702
826,nara,1.381048645502839
1208,tolak,1.36016907820816
653,lbh,1.356177282174954
475,jadi,1.3523673211280087
376,goped,1.3359258478391438
105,bahasa,1.3333091978382792
463,isi,1.3240871095665234
898,oke,1.2996475118381121
1277,wanita,1.2993832894593
1027,ribut,1.289496439026962
1074,selangkang,1.2732821467801196
843,ngak,1.263344731869269
1220,ttp,1.2570662129711399
1123,sok,1.2543228875064498
1213,tpi,1.2482468112584777
722,manusia,1.2260544198854277
827,narasi,1.2232427780652864
1101,siregar,1.22293033036649
1044,salah,1.2170046700110004
1039,ruu,1.213874901320539
97,baca,1.208056986787852
714,mana,1.2030354234705505
654,leceh,1.1917456658802952
464,islam,1.1816405089714246
697,mahasiswa,1.1514131289111658
1254,urus,1.145859941935385
169,bobot,1.1265142750396064
51,anehny,1.1213322104988035
883,nonton,1.1138281926823552
47,ancur,1.1099142747942072
901,one,1.0956109256463031
875,nikah,1.0807787001485416
514,kadrun,1.0769812459292682
16,ajar,1.075571748991074
219,cegah,1.0717996938478909
18,akal,1.064411085704052
346,gemes,1.0548284918325415
480,jalan,1.05380752506353
782,mnjdi,1.048454411685549
1207,tokoh,1.0441890360382984
342,gede,1.0411702212121834
753,mendikbud,1.039483830669104
421,hh,1.0373493331029202
495,jilbab,1.0330671400513687
403,halal,1.032561092758554
157,bingung,1.031565634599722
964,pikir,1.030971981295962
432,hormat,1.028874699119967
804,mundur,1.0222647465732864
510,kacau,1.0212360312173305
912,paha,1.0198825883852967
671,like,1.01821515314061
335,gara,1.014877189264508
1049,sampek,1.010549898763752
554,kelas,1.0094769792796445
561,kena,1.0079140634276555
1224,tuhan,1.0050824790460098
8,aduh,1.0
427,hipnotis,1.0
242,dajal,1.0
1279,waswas,0.9802490290759388
225,cewek,0.9686988832422467
447,ilmu,0.9647780136162343
726,masalh,0.9574801451708825
379,goto,0.9564459564719312
282,dpr,0.9491606919706274
461,intimidasi,0.9476267706341837
878,no,0.9310431183466216
597,konteks,0.9298838564040567
975,pks,0.9296625372601643
126,bela,0.9293362428479288
1174,teas,0.9264955651036944
366,gitu,0.9213892024212609
737,mba,0.9170779262492286
1198,tinggal,0.9144807728939099
95,babeh,0.9056300487993232
171,bodoh,0.9028590385254945
1161,tahan,0.9022079633235915
272,dlm,0.9000297089890408
634,laki,0.8999111465082457
136,berat,0.899574501316849
